UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Rennes.,France,Rennes,11224516,13446243,41625840,13046986,37703956,14364198,94139304
Rennes.,France,Rennes,3279225.5,1282816.5,3971244.5,1244726.125,3597083.5,1370392.75,8981204
Rennes.,France,Rennes,2951303,322253.40625,997607.3125,312684.84375,903615.25,344253.25,2256148
Rennes.,France,Rennes,1502978.375,421408.3125,1304563.375,408895.53125,1181650.625,450177.3125,2950347.5
Rennes.,France,Rennes,1439215.625,633636.875,1946647.375,615073.625,1764426.625,678657.4375,4445068
Rennes.,France,Rennes,9532527,6320933,19381630,6136197,17566930,6772090,44306828
Rennes.,France,Rennes,8822028,1604621.875,4967464.5,1556976.125,4499442.5,1714167.25,11234216
Rennes.,France,Rennes,23592206,46817656,144934496,45427512,131279128,50013836,327777952
Rennes.,France,Rennes,2509518.5,693878.875,2148056.75,673275.6875,1945672.125,741249.125,4857957.5
Rennes.,France,Rennes,1967535.375,568909.625,1761186.5,552017.0625,1595251.75,607748.25,3983027.5
Rennes.,France,Rennes,1810405.75,1523556.25,4680641,1478921.375,4242498,1631806.5,10688000
Rennes.,France,Rennes,670647.1875,186363.796875,572543.375,180903.984375,518949,199605.125,1307373
Rennes.,France,Rennes,2329616.5,375962.125,1152798,364974.28125,1044861.6875,402796.46875,2635321.5
Rennes.,France,Rennes,10687087,6286524.5,19276126,6102794.5,17471304,6735226,44065644
Rennes.,France,Rennes,1689712.125,715665.25,2215501.5,694415.1875,2006762.5,764522.8125,5010488
Rennes.,France,Rennes,77949928,149818048,463795168,145369536,420097536,160045936,1048900224
Rennes.,France,Rennes,188147840,808578624,2503135232,784569664,2267296256,863779136,5660988416
Rennes.,France,Rennes,24532706,165774864,513192992,160852544,464841216,177092080,1160616320
Rennes.,France,Rennes,1179610.375,200643.640625,616413.6875,194765.484375,558712.6875,214899.578125,1407548.5
Rennes.,France,Rennes,1584959,628977.8125,1932333.875,610551,1751452.875,673667.3125,4412384
Rennes.,France,Rennes,2121249,175404.828125,509663.59375,170068.484375,460892.90625,189152.53125,1205162.5
Rennes.,France,Rennes,1685157.625,211201.734375,613676.625,204776.328125,554952.75,227755.09375,1451114
Rennes.,France,Rennes,3169918,1222027.75,3775079,1185902.25,3420137.25,1306850.875,8576529
Rennes.,France,Rennes,6112112,1744004.625,5387565.5,1692448.25,4881014,1865059,12239906
Rennes.,France,Rennes,91746584,72187960,223002496,70053936,202035280,77198656,506635072
Rennes.,France,Rennes,28080646,5004734.5,15460589,4856785,14006948,5352122,35124612
Rennes.,France,Rennes,3206354,434370.65625,1302167.125,421417.09375,1179094.875,466624.8125,3018924.75
Rennes.,France,Rennes,5461960,690806.375,2070916.375,670205.5,1875186.875,742102.125,4801182
Rennes.,France,Rennes,1319660.625,675906.875,1963943,655343.6875,1776009.625,728882.375,4643986
Rennes.,France,Rennes,1557632.125,5273408,16290574,5117516,14758895,5639445,37010236
Rennes.,France,Rennes,2582390.25,6395472.5,19756844,6206409,17899260,6839393.5,44885188
Rennes.,France,Rennes,2448033,204767.84375,632567.3125,198714.484375,573091.8125,218981.140625,1437117.375
Rennes.,France,Rennes,2938778.25,5362954,16567197,5204413.5,15009509,5735206,37638692
Rennes.,France,Rennes,683172,45537.1796875,136512.484375,44179.19921875,123610.2265625,48918.54296875,316488.53125
Rennes.,France,Rennes,396239.75,15700.1455078125,47066.28515625,15231.943359375,42617.88671875,16865.958984375,109117.765625
Rennes.,France,Rennes,1518919.125,163814.265625,506053.84375,158971.59375,458473.46875,175184.921875,1149693.875
Rennes.,France,Rennes,892678.0625,395884.5,1222963.5,384181.34375,1107977.5,423363.5625,2778426.75
Rennes.,France,Rennes,3666356.5,5057765.5,15624412,4908248,14155367,5408834.5,35496800
