UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Seattle.,USA,Seattle,50034668,39688696,93298104,37857196,75492232,43320684,220398400
Seattle.,USA,Seattle,54848420,72463808,172349792,69097216,139352464,79207408,412255968
Seattle.,USA,Seattle,14190663,5502208,13080605,5247672.5,10580809,6016509.5,31312882
Seattle.,USA,Seattle,17109.310546875,0,0,0,0,0,0
Seattle.,USA,Seattle,56267488,109449800,257397488,104435056,208453552,119786288,615689024
Seattle.,USA,Seattle,397539.84375,454800.84375,672249.1875,431412.96875,531848.9375,521047.15625,2085548.75
Seattle.,USA,Seattle,29293152,35013688,82925384,33390682,67066588,38251528,197478416
Seattle.,USA,Seattle,3641263.75,489626.375,1163154.5,466966,940834.9375,535314.8125,2781512.25
Seattle.,USA,Seattle,10064.2998046875,0,0,0,0,0,0
Seattle.,USA,Seattle,4025.719970703125,0,0,0,0,0,0
Seattle.,USA,Seattle,8051.43994140625,29468.95703125,43418.81640625,27952.03515625,34384.07421875,33795.87109375,134792.828125
Seattle.,USA,Seattle,974224.25,216329.234375,318815.03125,205231.265625,252207.0625,247794.171875,987027.625
Seattle.,USA,Seattle,365334.09375,178661.953125,370859.40625,170119.28125,298623.28125,198605.609375,952307.125
Seattle.,USA,Seattle,44282.91796875,297503.6875,702471.0625,283891.40625,568820.6875,325289.375,1672935.5
Seattle.,USA,Seattle,27892200,45571696,106880376,43462624,86456568,49763804,253391248
Seattle.,USA,Seattle,10138776,20491752,48613152,19541186,39312696,22391984,115961248
Seattle.,USA,Seattle,11070.7294921875,0,0,0,0,0,0
Seattle.,USA,Seattle,6038.580078125,0,0,0,0,0,0
Seattle.,USA,Seattle,281800.40625,208425.40625,456413.5,199169.703125,370474.8125,226612.890625,1021436.5
Seattle.,USA,Seattle,265697.53125,483790.6875,698484.1875,459467.5,553272.6875,554213.75,2153749.75
Seattle.,USA,Seattle,8051.43994140625,70101.4609375,116870.015625,66590.0859375,93201.703125,79464.03125,334339.625
Seattle.,USA,Seattle,5259603,1384857.125,3274843,1321112.125,2650398.25,1513618.875,7803863
Seattle.,USA,Seattle,68761312,223360480,510496768,213175760,413574176,242755856,1170561280
Seattle.,USA,Seattle,817221.125,60156.26171875,139824.234375,57385.36328125,113139.40625,65967.8046875,337478.6875
Seattle.,USA,Seattle,4025.719970703125,0,0,0,0,0,0
Seattle.,USA,Seattle,3019.2900390625,0,0,0,0,0,0
Seattle.,USA,Seattle,3019.2900390625,0,0,0,0,0,0
Seattle.,USA,Seattle,1437182,400877.90625,812784,382147.65625,656117.125,442585.1875,1996248.875
Seattle.,USA,Seattle,5567570.5,1442581.25,2501618.75,1371197.75,1999472.25,1626604.375,6929533.5
Seattle.,USA,Seattle,25567348,2900449,6852601.5,2766015.5,5541901.5,3166952.5,16275221
Seattle.,USA,Seattle,18098630,6189217.5,14713603,5902401,11899757,6766561,35203712
Seattle.,USA,Seattle,17109.310546875,13164.359375,29256.353515625,12546.9541015625,23624.142578125,14515.0302734375,72314.671875
Seattle.,USA,Seattle,4025.719970703125,0,0,0,0,0,0
Seattle.,USA,Seattle,0,0,0,0,0,0,0
Seattle.,USA,Seattle,4025.719970703125,30485.4453125,44917.015625,28933.404296875,35549.91015625,34943.8671875,139377.453125
Seattle.,USA,Seattle,235504.625,207183.375,289032.3125,196691.6875,229096.4375,236698.84375,882806.0625
Seattle.,USA,Seattle,102655.859375,126673.078125,154270.375,120338.1953125,122441.1484375,143655.78125,451445.46875
Seattle.,USA,Seattle,19987700,82229008,185625776,78438592,150219856,89795992,437762560
Seattle.,USA,Seattle,30192.900390625,0,0,0,0,0,0
Seattle.,USA,Seattle,181157.40625,329549.96875,719931.5625,314059,581128.125,364026,1793277.5
Seattle.,USA,Seattle,418674.875,752069.3125,1361868.25,715783.6875,1091771.625,846101.0625,3705750.25
Seattle.,USA,Seattle,471009.25,219053.015625,277462.65625,208009.421875,220149.4375,248928.53125,819767.0625
Seattle.,USA,Seattle,3401733.5,1093691.875,1432089.5,1038165.25,1134627,1244481.375,4284182
Seattle.,USA,Seattle,4251160.5,730414.9375,1729997.125,696721.25,1399811.25,798376.25,4126380.25
