UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Waterloo.,Canada,Waterloo,1655128.375,60501.05859375,179289.25,61021.73046875,176564.171875,69418.59375,493802.125
Waterloo.,Canada,Waterloo,3758897,1282191.5,3799655,1293226,3741902.75,1471179.75,10465089
Waterloo.,Canada,Waterloo,5432809,27359818,81078256,27595276,79845936,31392510,223307440
Waterloo.,Canada,Waterloo,36834012,76236160,226488848,76882712,223002576,87497624,625347136
Waterloo.,Canada,Waterloo,398068.84375,151014.53125,447517.4375,152314.15625,440715.5,173273.265625,1232561.875
Waterloo.,Canada,Waterloo,10750026,7660253.5,22700446,7726177.5,22355418,8789334,62522040
Waterloo.,Canada,Waterloo,38277464,55475524,164396528,55952944,161897824,63652320,452784320
Waterloo.,Canada,Waterloo,47107220,83420376,247208496,84138288,243451120,95716096,680866816
Waterloo.,Canada,Waterloo,305536992,484404032,1439108864,488512256,1416956928,555959360,3973451776
Waterloo.,Canada,Waterloo,87250768,168730208,501278048,170161200,493561920,193654704,1384053760
Waterloo.,Canada,Waterloo,28810504,19253106,57198760,19416390,56318312,22097138,157928672
Waterloo.,Canada,Waterloo,309930.1875,40803.04296875,120916,41154.19140625,119078.1640625,46817.19140625,333029.34375
Waterloo.,Canada,Waterloo,23624050,22272440,66002296,22464116,64999108,25555278,181784880
Waterloo.,Canada,Waterloo,46652080,64704372,191745360,65261212,188830960,74241448,528108992
Waterloo.,Canada,Waterloo,120840264,265889840,787939712,268178064,775963648,305080576,2170159872
Waterloo.,Canada,Waterloo,109962368,107690248,319935360,108603560,315010656,123598048,883357568
Waterloo.,Canada,Waterloo,52341356,109841008,326324992,110772552,321301920,126066512,900999680
Waterloo.,Canada,Waterloo,8725727,22408088,66571856,22598128,65547124,25718168,183808224
Waterloo.,Canada,Waterloo,274530.25,19698.01953125,58373.23828125,19867.541015625,57486.01171875,22601.400390625,160772.796875
Waterloo.,Canada,Waterloo,4891695.5,1532510.375,4541451.5,1545699.125,4472425,1758394.25,12508161
Waterloo.,Canada,Waterloo,93031072,148149728,439027904,149424704,432354976,169986192,1209179648
Waterloo.,Canada,Waterloo,43693656,95954960,284353568,96780736,280031616,110098208,783172544
Waterloo.,Canada,Waterloo,4406933,13772787,40917368,13889594,40287532,15807279,112974912
Waterloo.,Canada,Waterloo,1531589.75,95970.6953125,285117.875,96784.609375,280729.125,110147.3046875,787224.75
Waterloo.,Canada,Waterloo,2702678,55277.88671875,164224.25,55746.6953125,161696.375,63443.4375,453431.4375
Waterloo.,Canada,Waterloo,884276.375,82978.8046875,246293.359375,83726.15625,242800.234375,95354.7890625,681856.875
Waterloo.,Canada,Waterloo,13170949,957246.6875,2841250,965868.25,2800953.5,1100016.625,7865928
Waterloo.,Canada,Waterloo,2472217,31247.435546875,92747.015625,31528.865234375,91431.609375,35907.875,256767.734375
Waterloo.,Canada,Waterloo,3120975.25,1711864.875,4589377.5,1723338.375,4500600.5,2001518.125,13535216
Waterloo.,Canada,Waterloo,606856.3125,276500.625,741276.8125,278353.84375,726937.5625,323285.5,2186209.5
