UID,Country,City,GMIS_Mean
Shanghai.1,China,Shanghai,57.68093385214008
Shanghai.2,China,Shanghai,51.227450980392156
Shanghai.3,China,Shanghai,43.05019305019305
Shanghai.4,China,Shanghai,44.857142857142854
Shanghai.5,China,Shanghai,47.22352941176471
Shanghai.6,China,Shanghai,50.14173228346457
Shanghai.7,China,Shanghai,18.0703125
Shanghai.8,China,Shanghai,10.972222222222221
Shanghai.9,China,Shanghai,18.857142857142858
Shanghai.10,China,Shanghai,12.662745098039215
Shanghai.11,China,Shanghai,0.1776061776061776
Shanghai.12,China,Shanghai,0.7538461538461538
Shanghai.13,China,Shanghai,19.46031746031746
Shanghai.14,China,Shanghai,14.903474903474903
Shanghai.15,China,Shanghai,20.628352490421456
Shanghai.16,China,Shanghai,14.357976653696499
Shanghai.17,China,Shanghai,10.86328125
Shanghai.18,China,Shanghai,14.034615384615385
Shanghai.19,China,Shanghai,15.46031746031746
Shanghai.20,China,Shanghai,17.455252918287936
Shanghai.21,China,Shanghai,23.79150579150579
Shanghai.22,China,Shanghai,14.09375
Shanghai.23,China,Shanghai,12.792156862745099
Shanghai.24,China,Shanghai,27.1969111969112
Shanghai.25,China,Shanghai,16.869230769230768
Shanghai.26,China,Shanghai,17.05078125
Shanghai.27,China,Shanghai,37.56201550387597
Shanghai.28,China,Shanghai,41.3921568627451
Shanghai.29,China,Shanghai,56.62992125984252
Shanghai.30,China,Shanghai,49.98076923076923
Shanghai.31,China,Shanghai,50.19291338582677
Shanghai.32,China,Shanghai,63.515625
Shanghai.33,China,Shanghai,80.03968253968254
Shanghai.34,China,Shanghai,9.162055335968379
Shanghai.35,China,Shanghai,8.606299212598426
Shanghai.36,China,Shanghai,12.007874015748031
Shanghai.37,China,Shanghai,55.2007874015748
Shanghai.38,China,Shanghai,73.62745098039215
Shanghai.39,China,Shanghai,38.13618677042802
Shanghai.40,China,Shanghai,20.96470588235294
Shanghai.41,China,Shanghai,19.1699604743083
