UID,Country,City,GMIS_Mean
Manchester.1,UK,Manchester,0
Manchester.2,UK,Manchester,0.8072625698324022
Manchester.3,UK,Manchester,0
Manchester.4,UK,Manchester,0
Manchester.5,UK,Manchester,58.016260162601625
Manchester.6,UK,Manchester,1.1643835616438356
Manchester.7,UK,Manchester,0
Manchester.8,UK,Manchester,0.8184281842818428
Manchester.9,UK,Manchester,0
Manchester.10,UK,Manchester,3.1077348066298343
Manchester.11,UK,Manchester,8.880886426592797
Manchester.12,UK,Manchester,0
Manchester.13,UK,Manchester,0
Manchester.14,UK,Manchester,0
Manchester.15,UK,Manchester,0
Manchester.16,UK,Manchester,40.582417582417584
Manchester.17,UK,Manchester,82.41463414634147
Manchester.18,UK,Manchester,15.282608695652174
Manchester.19,UK,Manchester,1.7717391304347827
Manchester.20,UK,Manchester,0
Manchester.21,UK,Manchester,0
Manchester.22,UK,Manchester,0
Manchester.23,UK,Manchester,0.021621621621621623
Manchester.24,UK,Manchester,0
Manchester.25,UK,Manchester,0
Manchester.26,UK,Manchester,0.3469945355191257
Manchester.27,UK,Manchester,0
Manchester.28,UK,Manchester,7.84741144414169
Manchester.29,UK,Manchester,0
Manchester.30,UK,Manchester,0
Manchester.31,UK,Manchester,7.755434782608695
Manchester.32,UK,Manchester,0
Manchester.33,UK,Manchester,55.87637362637363
Manchester.34,UK,Manchester,4.098630136986301
Manchester.35,UK,Manchester,8.019021739130435
Manchester.36,UK,Manchester,41.04432132963989
Manchester.37,UK,Manchester,0.2641509433962264
Manchester.38,UK,Manchester,0.051771117166212535
Manchester.39,UK,Manchester,0.9291553133514986
Manchester.40,UK,Manchester,0
