UID,Country,City,GMIS_Mean
Salem.1,USA,Salem,0.7935483870967742
Salem.2,USA,Salem,0
Salem.3,USA,Salem,3.0032154340836015
Salem.4,USA,Salem,0
Salem.5,USA,Salem,0
Salem.6,USA,Salem,0
Salem.7,USA,Salem,0
Salem.8,USA,Salem,0
Salem.9,USA,Salem,0
Salem.10,USA,Salem,0
Salem.11,USA,Salem,3.009677419354839
Salem.12,USA,Salem,1.4903225806451612
Salem.13,USA,Salem,0
Salem.14,USA,Salem,7.12621359223301
Salem.15,USA,Salem,27.88562091503268
Salem.16,USA,Salem,0
Salem.17,USA,Salem,0
Salem.18,USA,Salem,0
Salem.19,USA,Salem,0
Salem.20,USA,Salem,0
Salem.21,USA,Salem,0
Salem.22,USA,Salem,0
Salem.23,USA,Salem,0.11147540983606558
Salem.24,USA,Salem,0
Salem.25,USA,Salem,0
Salem.26,USA,Salem,0
Salem.27,USA,Salem,0
Salem.28,USA,Salem,0
Salem.29,USA,Salem,31.201277955271564
Salem.30,USA,Salem,0
Salem.31,USA,Salem,0
Salem.32,USA,Salem,0
Salem.33,USA,Salem,0.7987012987012987
Salem.34,USA,Salem,1.6013071895424837
Salem.35,USA,Salem,56.588235294117645
Salem.36,USA,Salem,0
Salem.37,USA,Salem,18.009584664536742
Salem.38,USA,Salem,0
Salem.39,USA,Salem,0
Salem.40,USA,Salem,0.5342019543973942
