UID,Country,City,GMIS_Mean
Calgary.1,Canada,Calgary,0
Calgary.2,Canada,Calgary,0
Calgary.3,Canada,Calgary,0
Calgary.4,Canada,Calgary,5.3615160349854225
Calgary.5,Canada,Calgary,0
Calgary.6,Canada,Calgary,0
Calgary.7,Canada,Calgary,6.269565217391304
Calgary.8,Canada,Calgary,5.245664739884393
Calgary.9,Canada,Calgary,21.821325648414987
Calgary.10,Canada,Calgary,61.37463976945245
Calgary.11,Canada,Calgary,0
Calgary.12,Canada,Calgary,0
Calgary.13,Canada,Calgary,0
Calgary.14,Canada,Calgary,0
Calgary.15,Canada,Calgary,0
Calgary.16,Canada,Calgary,0
Calgary.17,Canada,Calgary,0.16285714285714287
Calgary.18,Canada,Calgary,9.753581661891117
Calgary.19,Canada,Calgary,91.30057803468208
Calgary.20,Canada,Calgary,0
Calgary.21,Canada,Calgary,0
Calgary.22,Canada,Calgary,0
Calgary.23,Canada,Calgary,0
Calgary.24,Canada,Calgary,0
Calgary.25,Canada,Calgary,4.951428571428571
Calgary.26,Canada,Calgary,58.58119658119658
Calgary.27,Canada,Calgary,1.4412607449856734
Calgary.28,Canada,Calgary,62.05172413793103
Calgary.29,Canada,Calgary,0
Calgary.30,Canada,Calgary,0
Calgary.31,Canada,Calgary,0
Calgary.32,Canada,Calgary,0
Calgary.33,Canada,Calgary,0
Calgary.34,Canada,Calgary,0
Calgary.35,Canada,Calgary,0
Calgary.36,Canada,Calgary,2.363112391930836
Calgary.37,Canada,Calgary,0
Calgary.38,Canada,Calgary,0
Calgary.39,Canada,Calgary,0
Calgary.40,Canada,Calgary,0
Calgary.41,Canada,Calgary,0
Calgary.42,Canada,Calgary,0
