UID,Country,City,GMIS_Mean
Seattle.1,USA,Seattle,14.482758620689655
Seattle.2,USA,Seattle,34.00952380952381
Seattle.3,USA,Seattle,23.13166144200627
Seattle.4,USA,Seattle,0
Seattle.5,USA,Seattle,77.06624605678233
Seattle.6,USA,Seattle,0.6111111111111112
Seattle.7,USA,Seattle,22.6687306501548
Seattle.8,USA,Seattle,0.3076923076923077
Seattle.9,USA,Seattle,0
Seattle.10,USA,Seattle,0
Seattle.11,USA,Seattle,0
Seattle.12,USA,Seattle,0.14641744548286603
Seattle.13,USA,Seattle,0
Seattle.14,USA,Seattle,0
Seattle.15,USA,Seattle,36.025
Seattle.16,USA,Seattle,34.01875
Seattle.17,USA,Seattle,0
Seattle.18,USA,Seattle,0
Seattle.19,USA,Seattle,0
Seattle.20,USA,Seattle,0.22699386503067484
Seattle.21,USA,Seattle,0
Seattle.22,USA,Seattle,0.6636085626911316
Seattle.23,USA,Seattle,63.88343558282209
Seattle.24,USA,Seattle,0
Seattle.25,USA,Seattle,0
Seattle.26,USA,Seattle,0
Seattle.27,USA,Seattle,0
Seattle.28,USA,Seattle,0.003115264797507788
Seattle.29,USA,Seattle,0.6934984520123839
Seattle.30,USA,Seattle,16.251552795031056
Seattle.31,USA,Seattle,15.48136645962733
Seattle.32,USA,Seattle,0
Seattle.33,USA,Seattle,0
Seattle.34,USA,Seattle,0
Seattle.35,USA,Seattle,0.3567073170731707
Seattle.36,USA,Seattle,0
Seattle.37,USA,Seattle,0
Seattle.38,USA,Seattle,40.16463414634146
Seattle.39,USA,Seattle,0
Seattle.40,USA,Seattle,0.3048780487804878
Seattle.41,USA,Seattle,0.18292682926829268
Seattle.42,USA,Seattle,0
Seattle.43,USA,Seattle,21.928571428571427
Seattle.44,USA,Seattle,10.229813664596273
