UID,Country,City,GMIS_Mean
Stockholm.1,Sweden,Stockholm,24.15962441314554
Stockholm.2,Sweden,Stockholm,25.124121779859486
Stockholm.3,Sweden,Stockholm,17.309302325581395
Stockholm.4,Sweden,Stockholm,4.88
Stockholm.5,Sweden,Stockholm,14.323325635103926
Stockholm.6,Sweden,Stockholm,0.6416861826697893
Stockholm.7,Sweden,Stockholm,49.860520094562645
Stockholm.8,Sweden,Stockholm,59.55714285714286
Stockholm.9,Sweden,Stockholm,31.855106888361046
Stockholm.10,Sweden,Stockholm,28.061176470588236
Stockholm.11,Sweden,Stockholm,37.65094339622642
Stockholm.12,Sweden,Stockholm,17.388235294117646
Stockholm.13,Sweden,Stockholm,1.6682464454976302
Stockholm.14,Sweden,Stockholm,1.504739336492891
Stockholm.15,Sweden,Stockholm,0
Stockholm.16,Sweden,Stockholm,0
Stockholm.17,Sweden,Stockholm,0
Stockholm.18,Sweden,Stockholm,15.172897196261681
Stockholm.19,Sweden,Stockholm,53.02309468822171
Stockholm.20,Sweden,Stockholm,87.62910798122066
Stockholm.21,Sweden,Stockholm,8.221445221445222
Stockholm.22,Sweden,Stockholm,19.93720930232558
Stockholm.23,Sweden,Stockholm,16.39344262295082
Stockholm.24,Sweden,Stockholm,31.31367924528302
Stockholm.25,Sweden,Stockholm,14.52482269503546
Stockholm.26,Sweden,Stockholm,67.97635933806147
Stockholm.27,Sweden,Stockholm,59.58056872037915
Stockholm.28,Sweden,Stockholm,35.3758865248227
Stockholm.29,Sweden,Stockholm,1.1505882352941177
Stockholm.30,Sweden,Stockholm,66.97163120567376
Stockholm.31,Sweden,Stockholm,16.962264150943398
Stockholm.32,Sweden,Stockholm,8.983490566037736
Stockholm.33,Sweden,Stockholm,20.501182033096928
Stockholm.34,Sweden,Stockholm,64.98594847775176
Stockholm.35,Sweden,Stockholm,6.600467289719626
Stockholm.36,Sweden,Stockholm,9.146853146853147
Stockholm.37,Sweden,Stockholm,13.179906542056075
Stockholm.38,Sweden,Stockholm,17.08644859813084
Stockholm.39,Sweden,Stockholm,10.448844884488448
Stockholm.40,Sweden,Stockholm,0.375
Stockholm.41,Sweden,Stockholm,0
Stockholm.42,Sweden,Stockholm,19.343457943925234
