UID,Country,City,GMIS_Mean
Vancouver.1,Canada,Vancouver,0
Vancouver.2,Canada,Vancouver,0
Vancouver.3,Canada,Vancouver,72.25438596491227
Vancouver.4,Canada,Vancouver,24.154761904761905
Vancouver.5,Canada,Vancouver,0.6409495548961425
Vancouver.6,Canada,Vancouver,0
Vancouver.7,Canada,Vancouver,37.25449101796407
Vancouver.8,Canada,Vancouver,0
Vancouver.9,Canada,Vancouver,0
Vancouver.10,Canada,Vancouver,42.547904191616766
Vancouver.11,Canada,Vancouver,15.490963855421686
Vancouver.12,Canada,Vancouver,10.455089820359282
Vancouver.13,Canada,Vancouver,23.548192771084338
Vancouver.14,Canada,Vancouver,49.50149253731343
Vancouver.15,Canada,Vancouver,41.426829268292686
Vancouver.16,Canada,Vancouver,57.92121212121212
Vancouver.17,Canada,Vancouver,1.1854103343465046
Vancouver.18,Canada,Vancouver,0
Vancouver.19,Canada,Vancouver,0
Vancouver.20,Canada,Vancouver,2.210843373493976
Vancouver.21,Canada,Vancouver,0
Vancouver.22,Canada,Vancouver,0
Vancouver.23,Canada,Vancouver,0
Vancouver.24,Canada,Vancouver,0
Vancouver.25,Canada,Vancouver,0
Vancouver.26,Canada,Vancouver,0
Vancouver.27,Canada,Vancouver,0
Vancouver.28,Canada,Vancouver,0.37388724035608306
Vancouver.29,Canada,Vancouver,0
Vancouver.30,Canada,Vancouver,0
Vancouver.31,Canada,Vancouver,0
Vancouver.32,Canada,Vancouver,0
Vancouver.33,Canada,Vancouver,0
Vancouver.34,Canada,Vancouver,0
Vancouver.35,Canada,Vancouver,0
Vancouver.36,Canada,Vancouver,0
Vancouver.37,Canada,Vancouver,0
Vancouver.38,Canada,Vancouver,0
Vancouver.39,Canada,Vancouver,0
Vancouver.40,Canada,Vancouver,0
Vancouver.41,Canada,Vancouver,0
Vancouver.42,Canada,Vancouver,0
Vancouver.43,Canada,Vancouver,0
Vancouver.44,Canada,Vancouver,0
Vancouver.45,Canada,Vancouver,0
