UID,Country,City,HII
Detroit.1,USA,Detroit,34
Detroit.2,USA,Detroit,26
Detroit.3,USA,Detroit,34
Detroit.4,USA,Detroit,34
Detroit.5,USA,Detroit,44
Detroit.6,USA,Detroit,34
Detroit.7,USA,Detroit,34
Detroit.8,USA,Detroit,26
Detroit.9,USA,Detroit,14
Detroit.10,USA,Detroit,14
Detroit.11,USA,Detroit,22
Detroit.12,USA,Detroit,22
Detroit.13,USA,Detroit,34
Detroit.14,USA,Detroit,37
Detroit.15,USA,Detroit,47
Detroit.16,USA,Detroit,47
Detroit.17,USA,Detroit,56
Detroit.18,USA,Detroit,58
Detroit.19,USA,Detroit,58
Detroit.20,USA,Detroit,50
Detroit.21,USA,Detroit,58
Detroit.22,USA,Detroit,50
Detroit.23,USA,Detroit,60
Detroit.24,USA,Detroit,60
Detroit.25,USA,Detroit,52
Detroit.26,USA,Detroit,60
Detroit.27,USA,Detroit,60
Detroit.28,USA,Detroit,60
Detroit.29,USA,Detroit,60
Detroit.30,USA,Detroit,60
Detroit.31,USA,Detroit,60
Detroit.32,USA,Detroit,60
Detroit.33,USA,Detroit,60
Detroit.34,USA,Detroit,60
Detroit.35,USA,Detroit,52
Detroit.36,USA,Detroit,38
Detroit.37,USA,Detroit,52
Detroit.38,USA,Detroit,52
Detroit.39,USA,Detroit,52
Detroit.40,USA,Detroit,60
