UID,Country,City,HII
Boston.1,USA,Boston,38
Boston.2,USA,Boston,NA
Boston.3,USA,Boston,35
Boston.4,USA,Boston,42
Boston.5,USA,Boston,42
Boston.6,USA,Boston,38
Boston.7,USA,Boston,38
Boston.8,USA,Boston,34
Boston.9,USA,Boston,42
Boston.10,USA,Boston,58
Boston.11,USA,Boston,38
Boston.12,USA,Boston,39
Boston.13,USA,Boston,31
Boston.14,USA,Boston,52
Boston.15,USA,Boston,56
Boston.16,USA,Boston,38
Boston.17,USA,Boston,35
Boston.18,USA,Boston,46
Boston.19,USA,Boston,18
Boston.20,USA,Boston,45
Boston.21,USA,Boston,38
Boston.22,USA,Boston,48
Boston.23,USA,Boston,42
Boston.24,USA,Boston,46
Boston.25,USA,Boston,48
Boston.26,USA,Boston,38
Boston.27,USA,Boston,30
Boston.28,USA,Boston,27
Boston.29,USA,Boston,48
Boston.30,USA,Boston,14
Boston.31,USA,Boston,38
Boston.32,USA,Boston,38
Boston.33,USA,Boston,35
Boston.34,USA,Boston,27
Boston.35,USA,Boston,56
Boston.36,USA,Boston,42
Boston.37,USA,Boston,60
Boston.38,USA,Boston,42
Boston.39,USA,Boston,46
Boston.40,USA,Boston,27
Boston.41,USA,Boston,38
Boston.42,USA,Boston,48
Boston.43,USA,Boston,38
Boston.44,USA,Boston,42
Boston.45,USA,Boston,35
Boston.46,USA,Boston,42
