UID,Country,City,HII
Brighton.1,UK,Brighton,60
Brighton.2,UK,Brighton,60
Brighton.3,UK,Brighton,60
Brighton.4,UK,Brighton,52
Brighton.5,UK,Brighton,52
Brighton.6,UK,Brighton,52
Brighton.7,UK,Brighton,60
Brighton.8,UK,Brighton,52
Brighton.9,UK,Brighton,52
Brighton.10,UK,Brighton,60
Brighton.11,UK,Brighton,60
Brighton.12,UK,Brighton,60
Brighton.13,UK,Brighton,60
Brighton.14,UK,Brighton,60
Brighton.15,UK,Brighton,60
Brighton.16,UK,Brighton,60
Brighton.17,UK,Brighton,60
Brighton.18,UK,Brighton,60
Brighton.19,UK,Brighton,58
Brighton.20,UK,Brighton,58
Brighton.21,UK,Brighton,58
Brighton.22,UK,Brighton,58
Brighton.23,UK,Brighton,58
Brighton.24,UK,Brighton,58
Brighton.25,UK,Brighton,58
Brighton.26,UK,Brighton,58
Brighton.27,UK,Brighton,54
Brighton.28,UK,Brighton,54
Brighton.29,UK,Brighton,54
Brighton.30,UK,Brighton,54
Brighton.31,UK,Brighton,54
Brighton.32,UK,Brighton,54
Brighton.33,UK,Brighton,54
Brighton.34,UK,Brighton,54
Brighton.35,UK,Brighton,54
Brighton.36,UK,Brighton,54
Brighton.37,UK,Brighton,54
Brighton.38,UK,Brighton,54
