UID,Country,City,HII
Washington.1,USA,Washington,18
Washington.2,USA,Washington,18
Washington.3,USA,Washington,18
Washington.4,USA,Washington,18
Washington.5,USA,Washington,18
Washington.6,USA,Washington,18
Washington.7,USA,Washington,18
Washington.8,USA,Washington,18
Washington.9,USA,Washington,18
Washington.10,USA,Washington,18
Washington.11,USA,Washington,18
Washington.12,USA,Washington,18
Washington.13,USA,Washington,18
Washington.14,USA,Washington,40
Washington.15,USA,Washington,40
Washington.16,USA,Washington,40
Washington.17,USA,Washington,32
Washington.18,USA,Washington,31
Washington.19,USA,Washington,31
Washington.20,USA,Washington,28
Washington.21,USA,Washington,48
Washington.22,USA,Washington,48
Washington.23,USA,Washington,48
Washington.24,USA,Washington,38
Washington.25,USA,Washington,48
Washington.26,USA,Washington,50
Washington.27,USA,Washington,60
Washington.28,USA,Washington,60
Washington.29,USA,Washington,56
Washington.30,USA,Washington,48
Washington.31,USA,Washington,48
Washington.32,USA,Washington,56
Washington.33,USA,Washington,50
Washington.34,USA,Washington,60
Washington.35,USA,Washington,52
Washington.36,USA,Washington,52
Washington.37,USA,Washington,52
Washington.38,USA,Washington,52
Washington.39,USA,Washington,52
Washington.40,USA,Washington,52
Washington.41,USA,Washington,52
Washington.42,USA,Washington,52
Washington.43,USA,Washington,48
Washington.44,USA,Washington,48
