UID,Country,City,HII
Berlin.1,Germany,Berlin,50
Berlin.2,Germany,Berlin,43
Berlin.3,Germany,Berlin,56
Berlin.4,Germany,Berlin,39
Berlin.5,Germany,Berlin,52
Berlin.6,Germany,Berlin,42
Berlin.7,Germany,Berlin,52
Berlin.8,Germany,Berlin,60
Berlin.9,Germany,Berlin,52
Berlin.10,Germany,Berlin,48
Berlin.11,Germany,Berlin,38
Berlin.12,Germany,Berlin,34
Berlin.13,Germany,Berlin,51
Berlin.14,Germany,Berlin,60
Berlin.15,Germany,Berlin,60
Berlin.16,Germany,Berlin,60
Berlin.17,Germany,Berlin,60
Berlin.18,Germany,Berlin,60
Berlin.19,Germany,Berlin,60
Berlin.20,Germany,Berlin,56
Berlin.21,Germany,Berlin,39
Berlin.22,Germany,Berlin,34
Berlin.23,Germany,Berlin,46
Berlin.24,Germany,Berlin,48
Berlin.25,Germany,Berlin,60
Berlin.26,Germany,Berlin,58
Berlin.27,Germany,Berlin,50
Berlin.28,Germany,Berlin,47
Berlin.29,Germany,Berlin,46
Berlin.30,Germany,Berlin,46
Berlin.31,Germany,Berlin,54
Berlin.32,Germany,Berlin,27
Berlin.33,Germany,Berlin,42
