UID,Country,City,HII
Quebec_City.1,Canada,Quebec_City,51
Quebec_City.2,Canada,Quebec_City,31
Quebec_City.3,Canada,Quebec_City,43
Quebec_City.4,Canada,Quebec_City,44
Quebec_City.5,Canada,Quebec_City,22
Quebec_City.6,Canada,Quebec_City,28
Quebec_City.7,Canada,Quebec_City,42
Quebec_City.8,Canada,Quebec_City,58
Quebec_City.9,Canada,Quebec_City,49
Quebec_City.10,Canada,Quebec_City,42
Quebec_City.11,Canada,Quebec_City,54
Quebec_City.12,Canada,Quebec_City,31
Quebec_City.13,Canada,Quebec_City,58
Quebec_City.14,Canada,Quebec_City,54
Quebec_City.15,Canada,Quebec_City,50
Quebec_City.16,Canada,Quebec_City,50
Quebec_City.17,Canada,Quebec_City,48
Quebec_City.18,Canada,Quebec_City,58
Quebec_City.19,Canada,Quebec_City,42
Quebec_City.20,Canada,Quebec_City,36
Quebec_City.21,Canada,Quebec_City,54
Quebec_City.22,Canada,Quebec_City,34
Quebec_City.23,Canada,Quebec_City,45
Quebec_City.24,Canada,Quebec_City,50
Quebec_City.25,Canada,Quebec_City,52
Quebec_City.26,Canada,Quebec_City,50
Quebec_City.27,Canada,Quebec_City,46
Quebec_City.28,Canada,Quebec_City,38
Quebec_City.29,Canada,Quebec_City,42
Quebec_City.30,Canada,Quebec_City,38
Quebec_City.31,Canada,Quebec_City,42
Quebec_City.32,Canada,Quebec_City,42
Quebec_City.33,Canada,Quebec_City,31
Quebec_City.34,Canada,Quebec_City,36
Quebec_City.35,Canada,Quebec_City,28
Quebec_City.36,Canada,Quebec_City,38
Quebec_City.37,Canada,Quebec_City,31
Quebec_City.38,Canada,Quebec_City,21
