UID,Country,City,HII
Santiago.1,Chile,Santiago,21
Santiago.2,Chile,Santiago,31
Santiago.3,Chile,Santiago,17
Santiago.4,Chile,Santiago,13
Santiago.5,Chile,Santiago,49
Santiago.6,Chile,Santiago,22
Santiago.7,Chile,Santiago,46
Santiago.8,Chile,Santiago,18
Santiago.9,Chile,Santiago,10
Santiago.10,Chile,Santiago,22
Santiago.11,Chile,Santiago,17
Santiago.12,Chile,Santiago,14
Santiago.13,Chile,Santiago,34
Santiago.14,Chile,Santiago,46
Santiago.15,Chile,Santiago,44
Santiago.16,Chile,Santiago,10
Santiago.17,Chile,Santiago,14
Santiago.18,Chile,Santiago,6
Santiago.19,Chile,Santiago,26
Santiago.20,Chile,Santiago,14
Santiago.21,Chile,Santiago,34
Santiago.22,Chile,Santiago,34
Santiago.23,Chile,Santiago,40
Santiago.24,Chile,Santiago,19
Santiago.25,Chile,Santiago,6
Santiago.26,Chile,Santiago,6
Santiago.27,Chile,Santiago,18
Santiago.28,Chile,Santiago,14
Santiago.29,Chile,Santiago,21
Santiago.30,Chile,Santiago,37
Santiago.31,Chile,Santiago,17
Santiago.32,Chile,Santiago,14
Santiago.33,Chile,Santiago,14
Santiago.34,Chile,Santiago,2
Santiago.35,Chile,Santiago,17
Santiago.36,Chile,Santiago,22
Santiago.37,Chile,Santiago,17
Santiago.38,Chile,Santiago,27
Santiago.39,Chile,Santiago,14
Santiago.40,Chile,Santiago,18
Santiago.41,Chile,Santiago,18
Santiago.42,Chile,Santiago,14
