UID,Country,City,HII
Talca.1,Chile,Talca,32
Talca.2,Chile,Talca,33
Talca.3,Chile,Talca,21
Talca.4,Chile,Talca,21
Talca.5,Chile,Talca,18
Talca.6,Chile,Talca,29
Talca.7,Chile,Talca,51
Talca.8,Chile,Talca,31
Talca.9,Chile,Talca,26
Talca.10,Chile,Talca,32
Talca.11,Chile,Talca,29
Talca.12,Chile,Talca,29
Talca.13,Chile,Talca,39
Talca.14,Chile,Talca,42
Talca.15,Chile,Talca,41
Talca.16,Chile,Talca,43
Talca.17,Chile,Talca,28
Talca.18,Chile,Talca,19
Talca.19,Chile,Talca,22
Talca.20,Chile,Talca,22
Talca.21,Chile,Talca,38
Talca.22,Chile,Talca,49
Talca.23,Chile,Talca,49
Talca.24,Chile,Talca,34
Talca.25,Chile,Talca,21
Talca.26,Chile,Talca,21
Talca.27,Chile,Talca,22
Talca.28,Chile,Talca,18
Talca.29,Chile,Talca,17
Talca.30,Chile,Talca,30
Talca.31,Chile,Talca,42
Talca.32,Chile,Talca,42
Talca.33,Chile,Talca,21
Talca.34,Chile,Talca,14
Talca.35,Chile,Talca,14
Talca.36,Chile,Talca,14
Talca.37,Chile,Talca,14
Talca.38,Chile,Talca,29
Talca.39,Chile,Talca,29
