UID,Country,City,ISC_Mean
Kyoto.1,Japan,Kyoto,73.53932584269663
Kyoto.2,Japan,Kyoto,65.5129151291513
Kyoto.3,Japan,Kyoto,74.93984962406014
Kyoto.4,Japan,Kyoto,83.8969465648855
Kyoto.5,Japan,Kyoto,66.31481481481481
Kyoto.6,Japan,Kyoto,73.60536398467433
Kyoto.7,Japan,Kyoto,86.37453183520599
Kyoto.8,Japan,Kyoto,91.49442379182156
Kyoto.9,Japan,Kyoto,91.30798479087453
Kyoto.10,Japan,Kyoto,85.69288389513109
Kyoto.11,Japan,Kyoto,85.06367041198502
Kyoto.12,Japan,Kyoto,60.50188679245283
Kyoto.13,Japan,Kyoto,47.34944237918216
Kyoto.14,Japan,Kyoto,65.62172284644194
Kyoto.15,Japan,Kyoto,50.74814814814815
Kyoto.16,Japan,Kyoto,53.48880597014925
Kyoto.17,Japan,Kyoto,27.05243445692884
Kyoto.18,Japan,Kyoto,68.11895910780669
Kyoto.19,Japan,Kyoto,80.8364312267658
Kyoto.20,Japan,Kyoto,73.74906367041199
Kyoto.21,Japan,Kyoto,1.4721189591078068
Kyoto.22,Japan,Kyoto,3.412639405204461
Kyoto.23,Japan,Kyoto,0.48148148148148145
Kyoto.24,Japan,Kyoto,0.832089552238806
Kyoto.25,Japan,Kyoto,0.44609665427509293
Kyoto.26,Japan,Kyoto,1.2798507462686568
Kyoto.27,Japan,Kyoto,2.345864661654135
Kyoto.28,Japan,Kyoto,7.228464419475656
Kyoto.29,Japan,Kyoto,6.694656488549619
Kyoto.30,Japan,Kyoto,0
Kyoto.31,Japan,Kyoto,0
Kyoto.32,Japan,Kyoto,0.39097744360902253
Kyoto.33,Japan,Kyoto,2.6194029850746268
Kyoto.34,Japan,Kyoto,0
Kyoto.35,Japan,Kyoto,0.3707865168539326
Kyoto.36,Japan,Kyoto,10.299625468164795
Kyoto.37,Japan,Kyoto,11.186567164179104
Kyoto.38,Japan,Kyoto,0.29545454545454547
Kyoto.39,Japan,Kyoto,7.911111111111111
Kyoto.40,Japan,Kyoto,15.403773584905661
Kyoto.41,Japan,Kyoto,14.583333333333334
Kyoto.42,Japan,Kyoto,3.2330827067669174
Kyoto.43,Japan,Kyoto,52.118110236220474
Kyoto.44,Japan,Kyoto,62.779342723004696
