UID,Country,City,ISC_Mean
Portland_OR.1,USA,Portland_OR,72.71884984025559
Portland_OR.2,USA,Portland_OR,81.38535031847134
Portland_OR.3,USA,Portland_OR,69.95541401273886
Portland_OR.4,USA,Portland_OR,64.54632587859425
Portland_OR.5,USA,Portland_OR,92.74050632911393
Portland_OR.6,USA,Portland_OR,80.13183279742765
Portland_OR.7,USA,Portland_OR,70.73717948717949
Portland_OR.8,USA,Portland_OR,51.9203821656051
Portland_OR.9,USA,Portland_OR,47.846645367412144
Portland_OR.10,USA,Portland_OR,43.41423948220065
Portland_OR.11,USA,Portland_OR,45.30844155844156
Portland_OR.12,USA,Portland_OR,77.65605095541402
Portland_OR.13,USA,Portland_OR,82.59615384615384
Portland_OR.14,USA,Portland_OR,75.8173076923077
Portland_OR.15,USA,Portland_OR,76.96428571428571
Portland_OR.16,USA,Portland_OR,53.31528662420382
Portland_OR.17,USA,Portland_OR,44.39808917197452
Portland_OR.18,USA,Portland_OR,56.896103896103895
Portland_OR.19,USA,Portland_OR,49.351612903225806
Portland_OR.20,USA,Portland_OR,30.594855305466236
Portland_OR.21,USA,Portland_OR,28.70873786407767
Portland_OR.22,USA,Portland_OR,54.2373417721519
Portland_OR.23,USA,Portland_OR,36.62658227848101
Portland_OR.24,USA,Portland_OR,4.203821656050955
Portland_OR.25,USA,Portland_OR,0
Portland_OR.26,USA,Portland_OR,14.799352750809062
Portland_OR.27,USA,Portland_OR,0
Portland_OR.28,USA,Portland_OR,13.829581993569132
Portland_OR.29,USA,Portland_OR,6.14920634920635
Portland_OR.30,USA,Portland_OR,0
Portland_OR.31,USA,Portland_OR,0
Portland_OR.32,USA,Portland_OR,0
Portland_OR.33,USA,Portland_OR,34.07643312101911
Portland_OR.34,USA,Portland_OR,0
Portland_OR.35,USA,Portland_OR,0
Portland_OR.36,USA,Portland_OR,0
Portland_OR.37,USA,Portland_OR,1.110062893081761
Portland_OR.38,USA,Portland_OR,2.42258064516129
Portland_OR.39,USA,Portland_OR,0.5949367088607594
Portland_OR.40,USA,Portland_OR,0
