UID,Country,City,ISC_Mean
Sapporo.1,Japan,Sapporo,58.96969696969697
Sapporo.2,Japan,Sapporo,85.15436241610739
Sapporo.3,Japan,Sapporo,82.48993288590604
Sapporo.4,Japan,Sapporo,81.37373737373737
Sapporo.5,Japan,Sapporo,83.34883720930233
Sapporo.6,Japan,Sapporo,77.17333333333333
Sapporo.7,Japan,Sapporo,83.85
Sapporo.8,Japan,Sapporo,74.32885906040268
Sapporo.9,Japan,Sapporo,64.44594594594595
Sapporo.10,Japan,Sapporo,68.38225255972696
Sapporo.11,Japan,Sapporo,66.38741721854305
Sapporo.12,Japan,Sapporo,57.17
Sapporo.13,Japan,Sapporo,64.61
Sapporo.14,Japan,Sapporo,34.053691275167786
Sapporo.15,Japan,Sapporo,11.76923076923077
Sapporo.16,Japan,Sapporo,18.75986842105263
Sapporo.17,Japan,Sapporo,18.322259136212626
Sapporo.18,Japan,Sapporo,8.97324414715719
Sapporo.19,Japan,Sapporo,3.3043478260869565
Sapporo.20,Japan,Sapporo,3.9503311258278146
Sapporo.21,Japan,Sapporo,10.07641196013289
Sapporo.22,Japan,Sapporo,10.102990033222591
Sapporo.23,Japan,Sapporo,4.718543046357616
Sapporo.24,Japan,Sapporo,0
Sapporo.25,Japan,Sapporo,0.9060402684563759
Sapporo.26,Japan,Sapporo,2.9063545150501673
Sapporo.27,Japan,Sapporo,0
Sapporo.28,Japan,Sapporo,0
Sapporo.29,Japan,Sapporo,0
Sapporo.30,Japan,Sapporo,0
Sapporo.31,Japan,Sapporo,0
Sapporo.32,Japan,Sapporo,0
Sapporo.33,Japan,Sapporo,0
Sapporo.34,Japan,Sapporo,0
Sapporo.35,Japan,Sapporo,0.23
Sapporo.36,Japan,Sapporo,0.53
Sapporo.37,Japan,Sapporo,3.4366666666666665
Sapporo.38,Japan,Sapporo,9.933554817275747
Sapporo.39,Japan,Sapporo,5.737541528239203
Sapporo.40,Japan,Sapporo,0
Sapporo.41,Japan,Sapporo,0
Sapporo.42,Japan,Sapporo,75.07718120805369
Sapporo.43,Japan,Sapporo,56.16326530612245
Sapporo.44,Japan,Sapporo,64.92642140468227
