UID,Country,City,ISC_Mean
Anchorage.1,USA,Anchorage,0
Anchorage.2,USA,Anchorage,0
Anchorage.3,USA,Anchorage,0
Anchorage.4,USA,Anchorage,86.34725274725275
Anchorage.5,USA,Anchorage,0
Anchorage.6,USA,Anchorage,0
Anchorage.7,USA,Anchorage,100
Anchorage.8,USA,Anchorage,100
Anchorage.9,USA,Anchorage,6.0777777777777775
Anchorage.10,USA,Anchorage,0
Anchorage.11,USA,Anchorage,27.017582417582418
Anchorage.12,USA,Anchorage,0
Anchorage.13,USA,Anchorage,0
Anchorage.14,USA,Anchorage,NA
Anchorage.15,USA,Anchorage,1.8106904231625836
Anchorage.16,USA,Anchorage,99.74049217002238
Anchorage.17,USA,Anchorage,0
Anchorage.18,USA,Anchorage,30.195604395604395
Anchorage.19,USA,Anchorage,50.47555555555556
Anchorage.20,USA,Anchorage,25.587053571428573
Anchorage.21,USA,Anchorage,100
Anchorage.22,USA,Anchorage,0
Anchorage.23,USA,Anchorage,0
Anchorage.24,USA,Anchorage,0
Anchorage.25,USA,Anchorage,1.36986301369863
Anchorage.26,USA,Anchorage,0
Anchorage.27,USA,Anchorage,0
Anchorage.28,USA,Anchorage,0
Anchorage.29,USA,Anchorage,0
Anchorage.30,USA,Anchorage,10.821428571428571
Anchorage.31,USA,Anchorage,0
Anchorage.32,USA,Anchorage,83.91031390134529
Anchorage.33,USA,Anchorage,0
Anchorage.34,USA,Anchorage,100
Anchorage.35,USA,Anchorage,0.3236607142857143
Anchorage.36,USA,Anchorage,0
Anchorage.37,USA,Anchorage,0
Anchorage.38,USA,Anchorage,38.426339285714285
Anchorage.39,USA,Anchorage,NA
