UID,Country,City,ISC_Mean
Antwerp.1,Belgium,Antwerp,0
Antwerp.2,Belgium,Antwerp,7.084548104956268
Antwerp.3,Belgium,Antwerp,0
Antwerp.4,Belgium,Antwerp,0
Antwerp.5,Belgium,Antwerp,0
Antwerp.6,Belgium,Antwerp,53.650145772594755
Antwerp.7,Belgium,Antwerp,28.444126074498566
Antwerp.8,Belgium,Antwerp,14.890489913544668
Antwerp.9,Belgium,Antwerp,0
Antwerp.10,Belgium,Antwerp,14.220289855072464
Antwerp.11,Belgium,Antwerp,69.67826086956522
Antwerp.12,Belgium,Antwerp,69.25787965616045
Antwerp.13,Belgium,Antwerp,0
Antwerp.14,Belgium,Antwerp,1.477142857142857
Antwerp.15,Belgium,Antwerp,36.08857142857143
Antwerp.16,Belgium,Antwerp,18.71137026239067
Antwerp.17,Belgium,Antwerp,0
Antwerp.18,Belgium,Antwerp,12.626436781609195
Antwerp.19,Belgium,Antwerp,54.913544668587896
Antwerp.20,Belgium,Antwerp,0
Antwerp.21,Belgium,Antwerp,20.15028901734104
Antwerp.22,Belgium,Antwerp,0
Antwerp.23,Belgium,Antwerp,0
Antwerp.24,Belgium,Antwerp,6.534682080924855
Antwerp.25,Belgium,Antwerp,55.99425287356322
Antwerp.26,Belgium,Antwerp,0
Antwerp.27,Belgium,Antwerp,1.2798833819241981
Antwerp.28,Belgium,Antwerp,36.5
Antwerp.29,Belgium,Antwerp,41.3121387283237
Antwerp.30,Belgium,Antwerp,43.13119533527697
Antwerp.31,Belgium,Antwerp,35.56609195402299
Antwerp.32,Belgium,Antwerp,0
Antwerp.33,Belgium,Antwerp,38.93465909090909
Antwerp.34,Belgium,Antwerp,10.474431818181818
Antwerp.35,Belgium,Antwerp,48.21875
Antwerp.36,Belgium,Antwerp,34.54651162790697
