UID,Country,City,ISC_Mean
Christchurch.1,New Zealand,Christchurch,0
Christchurch.2,New Zealand,Christchurch,32.205298013245034
Christchurch.3,New Zealand,Christchurch,0
Christchurch.4,New Zealand,Christchurch,0
Christchurch.5,New Zealand,Christchurch,0
Christchurch.6,New Zealand,Christchurch,0.5901639344262295
Christchurch.7,New Zealand,Christchurch,0
Christchurch.8,New Zealand,Christchurch,0
Christchurch.9,New Zealand,Christchurch,26.073825503355703
Christchurch.10,New Zealand,Christchurch,0
Christchurch.11,New Zealand,Christchurch,0
Christchurch.12,New Zealand,Christchurch,0
Christchurch.13,New Zealand,Christchurch,0
Christchurch.14,New Zealand,Christchurch,0
Christchurch.15,New Zealand,Christchurch,79.81188118811882
Christchurch.16,New Zealand,Christchurch,0
Christchurch.17,New Zealand,Christchurch,0
Christchurch.18,New Zealand,Christchurch,72.28476821192054
Christchurch.19,New Zealand,Christchurch,0
Christchurch.20,New Zealand,Christchurch,0
Christchurch.21,New Zealand,Christchurch,0
Christchurch.22,New Zealand,Christchurch,0
Christchurch.23,New Zealand,Christchurch,0
Christchurch.24,New Zealand,Christchurch,0
Christchurch.25,New Zealand,Christchurch,1.3675496688741722
Christchurch.26,New Zealand,Christchurch,24.952380952380953
Christchurch.27,New Zealand,Christchurch,0.5379537953795379
Christchurch.28,New Zealand,Christchurch,0
Christchurch.29,New Zealand,Christchurch,0
Christchurch.30,New Zealand,Christchurch,0
Christchurch.31,New Zealand,Christchurch,0
Christchurch.32,New Zealand,Christchurch,0
Christchurch.33,New Zealand,Christchurch,0.7774086378737541
Christchurch.34,New Zealand,Christchurch,0
Christchurch.35,New Zealand,Christchurch,47.18543046357616
Christchurch.36,New Zealand,Christchurch,0
Christchurch.37,New Zealand,Christchurch,0
Christchurch.38,New Zealand,Christchurch,0
Christchurch.39,New Zealand,Christchurch,NA
Christchurch.40,New Zealand,Christchurch,99.8782894736842
Christchurch.41,New Zealand,Christchurch,0
Christchurch.42,New Zealand,Christchurch,0
Christchurch.43,New Zealand,Christchurch,0
Christchurch.44,New Zealand,Christchurch,0
Christchurch.45,New Zealand,Christchurch,0.0033003300330033004
Christchurch.46,New Zealand,Christchurch,45.92434210526316
