UID,Country,City,ISC_Mean
Norfolk.1,USA,Norfolk,2.0586080586080584
Norfolk.2,USA,Norfolk,0.6642599277978339
Norfolk.3,USA,Norfolk,26.054744525547445
Norfolk.4,USA,Norfolk,10.717391304347826
Norfolk.5,USA,Norfolk,0
Norfolk.6,USA,Norfolk,0
Norfolk.7,USA,Norfolk,0.040145985401459854
Norfolk.8,USA,Norfolk,5.466911764705882
Norfolk.9,USA,Norfolk,0.1948529411764706
Norfolk.10,USA,Norfolk,0
Norfolk.11,USA,Norfolk,15.562043795620438
Norfolk.12,USA,Norfolk,12.173431734317344
Norfolk.13,USA,Norfolk,0
Norfolk.14,USA,Norfolk,0
Norfolk.15,USA,Norfolk,0
Norfolk.16,USA,Norfolk,0
Norfolk.17,USA,Norfolk,3.3074074074074074
Norfolk.18,USA,Norfolk,1.8411552346570397
Norfolk.19,USA,Norfolk,0
Norfolk.20,USA,Norfolk,12.236363636363636
Norfolk.21,USA,Norfolk,65.61371841155234
Norfolk.22,USA,Norfolk,36.57608695652174
Norfolk.23,USA,Norfolk,52.77490774907749
Norfolk.24,USA,Norfolk,22.01094890510949
Norfolk.25,USA,Norfolk,0
Norfolk.26,USA,Norfolk,0
Norfolk.27,USA,Norfolk,55.56410256410256
Norfolk.28,USA,Norfolk,3.892988929889299
Norfolk.29,USA,Norfolk,41.07942238267148
Norfolk.30,USA,Norfolk,13.55719557195572
Norfolk.31,USA,Norfolk,0
Norfolk.32,USA,Norfolk,26.98168498168498
Norfolk.33,USA,Norfolk,37.87591240875913
Norfolk.34,USA,Norfolk,0
Norfolk.35,USA,Norfolk,0
Norfolk.36,USA,Norfolk,29.636363636363637
Norfolk.37,USA,Norfolk,0.3992673992673993
Norfolk.38,USA,Norfolk,1.0735294117647058
Norfolk.39,USA,Norfolk,91.27636363636364
Norfolk.40,USA,Norfolk,36.1941391941392
Norfolk.41,USA,Norfolk,46.45054945054945
Norfolk.42,USA,Norfolk,43.81481481481482
Norfolk.43,USA,Norfolk,40.59782608695652
Norfolk.44,USA,Norfolk,19.104693140794225
Norfolk.45,USA,Norfolk,0
Norfolk.46,USA,Norfolk,35.03636363636364
Norfolk.47,USA,Norfolk,4.474452554744525
Norfolk.48,USA,Norfolk,0
Norfolk.49,USA,Norfolk,0
Norfolk.50,USA,Norfolk,3.2527472527472527
Norfolk.51,USA,Norfolk,27.469534050179213
