UID,Country,City,ISC_Mean
Orangeville.1,Canada,Orangeville,0
Orangeville.2,Canada,Orangeville,2.5250836120401337
Orangeville.3,Canada,Orangeville,0
Orangeville.4,Canada,Orangeville,0
Orangeville.5,Canada,Orangeville,0
Orangeville.6,Canada,Orangeville,0
Orangeville.7,Canada,Orangeville,4.875
Orangeville.8,Canada,Orangeville,0
Orangeville.9,Canada,Orangeville,0
Orangeville.10,Canada,Orangeville,30.15081967213115
Orangeville.11,Canada,Orangeville,0
Orangeville.12,Canada,Orangeville,0
Orangeville.13,Canada,Orangeville,2.260869565217391
Orangeville.14,Canada,Orangeville,0
Orangeville.15,Canada,Orangeville,5.486666666666666
Orangeville.16,Canada,Orangeville,0
Orangeville.17,Canada,Orangeville,2.3856209150326797
Orangeville.18,Canada,Orangeville,4.742574257425742
Orangeville.19,Canada,Orangeville,0
Orangeville.20,Canada,Orangeville,0
Orangeville.21,Canada,Orangeville,36.269102990033225
Orangeville.22,Canada,Orangeville,0.8547854785478548
Orangeville.23,Canada,Orangeville,61.57859531772575
Orangeville.24,Canada,Orangeville,21.11842105263158
Orangeville.25,Canada,Orangeville,0
Orangeville.26,Canada,Orangeville,0
Orangeville.27,Canada,Orangeville,0
Orangeville.28,Canada,Orangeville,0
Orangeville.29,Canada,Orangeville,0.11627906976744186
Orangeville.30,Canada,Orangeville,0
