UID,Country,City,ISC_Mean
Toluca.1,Mexico,Toluca,77.52789699570816
Toluca.2,Mexico,Toluca,0.6410256410256411
Toluca.3,Mexico,Toluca,90.17094017094017
Toluca.4,Mexico,Toluca,0
Toluca.5,Mexico,Toluca,3.0608695652173914
Toluca.6,Mexico,Toluca,0
Toluca.7,Mexico,Toluca,0
Toluca.8,Mexico,Toluca,0
Toluca.9,Mexico,Toluca,0
Toluca.10,Mexico,Toluca,70.47210300429184
Toluca.11,Mexico,Toluca,0
Toluca.12,Mexico,Toluca,14.102564102564102
Toluca.13,Mexico,Toluca,0
Toluca.14,Mexico,Toluca,0
Toluca.15,Mexico,Toluca,1.1336206896551724
Toluca.16,Mexico,Toluca,88.17596566523605
Toluca.17,Mexico,Toluca,0
Toluca.18,Mexico,Toluca,0
Toluca.19,Mexico,Toluca,27.085470085470085
Toluca.20,Mexico,Toluca,22.03862660944206
Toluca.21,Mexico,Toluca,15.991379310344827
