UID,Country,City,ISC_Mean
Atlanta.1,USA,Atlanta,1.3650190114068441
Atlanta.2,USA,Atlanta,0
Atlanta.3,USA,Atlanta,0.7701149425287356
Atlanta.4,USA,Atlanta,22.605263157894736
Atlanta.5,USA,Atlanta,9.992366412213741
Atlanta.6,USA,Atlanta,38.32183908045977
Atlanta.7,USA,Atlanta,58.58490566037736
Atlanta.8,USA,Atlanta,7.365384615384615
Atlanta.9,USA,Atlanta,3.2758620689655173
Atlanta.10,USA,Atlanta,22.171755725190838
Atlanta.11,USA,Atlanta,11.577358490566038
Atlanta.12,USA,Atlanta,56.64478764478765
Atlanta.13,USA,Atlanta,8.870722433460076
Atlanta.14,USA,Atlanta,27.70703125
Atlanta.15,USA,Atlanta,36.770992366412216
Atlanta.16,USA,Atlanta,28.484848484848484
Atlanta.17,USA,Atlanta,24.334615384615386
Atlanta.18,USA,Atlanta,46.969348659003835
Atlanta.19,USA,Atlanta,75.2183908045977
Atlanta.20,USA,Atlanta,29.626923076923077
Atlanta.21,USA,Atlanta,31.23308270676692
Atlanta.22,USA,Atlanta,28.718631178707223
Atlanta.23,USA,Atlanta,52.907335907335906
Atlanta.24,USA,Atlanta,55.148288973384034
Atlanta.25,USA,Atlanta,60.653992395437264
Atlanta.26,USA,Atlanta,16.129770992366414
Atlanta.27,USA,Atlanta,15.649056603773586
Atlanta.28,USA,Atlanta,31.46768060836502
Atlanta.29,USA,Atlanta,40.92395437262358
Atlanta.30,USA,Atlanta,19.93103448275862
Atlanta.31,USA,Atlanta,45.92395437262358
Atlanta.32,USA,Atlanta,12.073076923076924
Atlanta.33,USA,Atlanta,58.23664122137404
Atlanta.34,USA,Atlanta,62.91729323308271
Atlanta.35,USA,Atlanta,57.06896551724138
Atlanta.36,USA,Atlanta,79.1264367816092
Atlanta.37,USA,Atlanta,71.33076923076923
Atlanta.38,USA,Atlanta,85.69056603773585
Atlanta.39,USA,Atlanta,77.89513108614233
Atlanta.40,USA,Atlanta,77.85057471264368
Atlanta.41,USA,Atlanta,75.68461538461538
Atlanta.42,USA,Atlanta,52.74045801526717
Atlanta.43,USA,Atlanta,78.81749049429658
Atlanta.44,USA,Atlanta,32.18939393939394
Atlanta.45,USA,Atlanta,34.444866920152094
