UID,Country,City,ISC_Mean
Beijing.1,China,Beijing,78.65505226480836
Beijing.2,China,Beijing,79.57192982456141
Beijing.3,China,Beijing,82.34615384615384
Beijing.4,China,Beijing,75.53900709219859
Beijing.5,China,Beijing,86.25614035087719
Beijing.6,China,Beijing,77.8303886925795
Beijing.7,China,Beijing,96.23404255319149
Beijing.8,China,Beijing,83.32280701754387
Beijing.9,China,Beijing,78.95422535211267
Beijing.10,China,Beijing,75.54895104895105
Beijing.11,China,Beijing,79.07692307692308
Beijing.12,China,Beijing,45.36879432624114
Beijing.13,China,Beijing,83.07342657342657
Beijing.14,China,Beijing,76.05673758865248
Beijing.15,China,Beijing,89.70774647887323
Beijing.16,China,Beijing,74.02473498233215
Beijing.17,China,Beijing,63.63120567375886
Beijing.18,China,Beijing,76.72924187725631
Beijing.19,China,Beijing,83.87062937062937
Beijing.20,China,Beijing,88.9055944055944
Beijing.21,China,Beijing,80.49300699300699
Beijing.22,China,Beijing,90.98936170212765
Beijing.23,China,Beijing,89.44561403508771
Beijing.24,China,Beijing,44.3922261484099
