UID,Country,City,ISC_Mean
Cincinnati.1,USA,Cincinnati,0
Cincinnati.2,USA,Cincinnati,0
Cincinnati.3,USA,Cincinnati,0
Cincinnati.4,USA,Cincinnati,2.4335664335664338
Cincinnati.5,USA,Cincinnati,0
Cincinnati.6,USA,Cincinnati,0.3286219081272085
Cincinnati.7,USA,Cincinnati,0
Cincinnati.8,USA,Cincinnati,0
Cincinnati.9,USA,Cincinnati,0
Cincinnati.10,USA,Cincinnati,0.0528169014084507
Cincinnati.11,USA,Cincinnati,1.1942446043165467
Cincinnati.12,USA,Cincinnati,0
Cincinnati.13,USA,Cincinnati,0
Cincinnati.14,USA,Cincinnati,0
Cincinnati.15,USA,Cincinnati,0
Cincinnati.16,USA,Cincinnati,0
Cincinnati.17,USA,Cincinnati,1.0178571428571428
Cincinnati.18,USA,Cincinnati,0
Cincinnati.19,USA,Cincinnati,0
Cincinnati.20,USA,Cincinnati,0.1935483870967742
Cincinnati.21,USA,Cincinnati,0
Cincinnati.22,USA,Cincinnati,0.3978494623655914
Cincinnati.23,USA,Cincinnati,0.46996466431095407
Cincinnati.24,USA,Cincinnati,0
Cincinnati.25,USA,Cincinnati,0
Cincinnati.26,USA,Cincinnati,34.71378091872791
Cincinnati.27,USA,Cincinnati,11.708185053380783
Cincinnati.28,USA,Cincinnati,8.735915492957746
Cincinnati.29,USA,Cincinnati,12.342756183745584
Cincinnati.30,USA,Cincinnati,11.021201413427562
Cincinnati.31,USA,Cincinnati,17.795053003533567
Cincinnati.32,USA,Cincinnati,14.901408450704226
Cincinnati.33,USA,Cincinnati,61.43462897526502
Cincinnati.34,USA,Cincinnati,69.33450704225352
Cincinnati.35,USA,Cincinnati,92.37102473498233
Cincinnati.36,USA,Cincinnati,38.79858657243816
Cincinnati.37,USA,Cincinnati,75.48375451263539
Cincinnati.38,USA,Cincinnati,91.97887323943662
Cincinnati.39,USA,Cincinnati,84.34859154929578
