UID,Country,City,ISC_Mean
Ghent.1,Belgium,Ghent,79.40057636887607
Ghent.2,Belgium,Ghent,75.08522727272727
Ghent.3,Belgium,Ghent,77.44285714285714
Ghent.4,Belgium,Ghent,72.04322766570606
Ghent.5,Belgium,Ghent,87.60744985673352
Ghent.6,Belgium,Ghent,85.68285714285715
Ghent.7,Belgium,Ghent,90.20630372492836
Ghent.8,Belgium,Ghent,89.08933717579251
Ghent.9,Belgium,Ghent,91.41666666666667
Ghent.10,Belgium,Ghent,77.19308357348703
Ghent.11,Belgium,Ghent,75.05475504322767
Ghent.12,Belgium,Ghent,66.34202898550724
Ghent.13,Belgium,Ghent,69.14899713467048
Ghent.14,Belgium,Ghent,56.04322766570605
Ghent.15,Belgium,Ghent,58.87356321839081
Ghent.16,Belgium,Ghent,55.244897959183675
Ghent.17,Belgium,Ghent,87.7406340057637
Ghent.18,Belgium,Ghent,65.92263610315186
Ghent.19,Belgium,Ghent,95.683908045977
Ghent.20,Belgium,Ghent,82.5597667638484
Ghent.21,Belgium,Ghent,82.78223495702005
Ghent.22,Belgium,Ghent,48.84285714285714
Ghent.23,Belgium,Ghent,34.04
Ghent.24,Belgium,Ghent,32.50877192982456
Ghent.25,Belgium,Ghent,25.3
Ghent.26,Belgium,Ghent,75.6840579710145
Ghent.27,Belgium,Ghent,74.19827586206897
Ghent.28,Belgium,Ghent,11
Ghent.29,Belgium,Ghent,10.838616714697407
Ghent.30,Belgium,Ghent,13.412280701754385
Ghent.31,Belgium,Ghent,9.96242774566474
Ghent.32,Belgium,Ghent,8.991304347826087
Ghent.33,Belgium,Ghent,0
Ghent.34,Belgium,Ghent,0
Ghent.35,Belgium,Ghent,28.696793002915452
Ghent.36,Belgium,Ghent,33.21449275362319
Ghent.37,Belgium,Ghent,48.45481049562682
Ghent.38,Belgium,Ghent,38.482658959537574
Ghent.39,Belgium,Ghent,29.278735632183906
Ghent.40,Belgium,Ghent,2.565597667638484
