UID,Country,City,ISC_Mean
Latacunga.1,Ecuador,Latacunga,67.14545454545454
Latacunga.2,Ecuador,Latacunga,64.65277777777777
Latacunga.3,Ecuador,Latacunga,73.3041474654378
Latacunga.4,Ecuador,Latacunga,78.45662100456622
Latacunga.5,Ecuador,Latacunga,48.61643835616438
Latacunga.6,Ecuador,Latacunga,25.39090909090909
Latacunga.7,Ecuador,Latacunga,36.04504504504504
Latacunga.8,Ecuador,Latacunga,3.792626728110599
Latacunga.9,Ecuador,Latacunga,31.704545454545453
Latacunga.10,Ecuador,Latacunga,56.70403587443946
Latacunga.11,Ecuador,Latacunga,0
Latacunga.12,Ecuador,Latacunga,0
Latacunga.13,Ecuador,Latacunga,15.783783783783784
Latacunga.14,Ecuador,Latacunga,0
Latacunga.15,Ecuador,Latacunga,0.7397260273972602
Latacunga.16,Ecuador,Latacunga,10.570135746606335
Latacunga.17,Ecuador,Latacunga,10.886877828054299
Latacunga.18,Ecuador,Latacunga,18.123853211009173
Latacunga.19,Ecuador,Latacunga,0
Latacunga.20,Ecuador,Latacunga,1.275229357798165
Latacunga.21,Ecuador,Latacunga,0.7142857142857143
Latacunga.22,Ecuador,Latacunga,0
Latacunga.23,Ecuador,Latacunga,0
Latacunga.24,Ecuador,Latacunga,0
Latacunga.25,Ecuador,Latacunga,0
Latacunga.26,Ecuador,Latacunga,0
Latacunga.27,Ecuador,Latacunga,0
Latacunga.28,Ecuador,Latacunga,0.3824884792626728
Latacunga.29,Ecuador,Latacunga,0
Latacunga.30,Ecuador,Latacunga,0
Latacunga.31,Ecuador,Latacunga,0
Latacunga.32,Ecuador,Latacunga,0
Latacunga.33,Ecuador,Latacunga,0
Latacunga.34,Ecuador,Latacunga,0
Latacunga.35,Ecuador,Latacunga,0
Latacunga.36,Ecuador,Latacunga,0
Latacunga.37,Ecuador,Latacunga,0
Latacunga.38,Ecuador,Latacunga,0
Latacunga.39,Ecuador,Latacunga,0
Latacunga.40,Ecuador,Latacunga,0
