UID,Country,City,ISC_Mean
Tehran.1,Iran,Tehran,0
Tehran.2,Iran,Tehran,0
Tehran.3,Iran,Tehran,0
Tehran.4,Iran,Tehran,6.443609022556391
Tehran.5,Iran,Tehran,0.9365671641791045
Tehran.6,Iran,Tehran,18.40959409594096
Tehran.7,Iran,Tehran,0
Tehran.8,Iran,Tehran,14.118959107806692
Tehran.9,Iran,Tehran,22.055350553505534
Tehran.10,Iran,Tehran,46.100746268656714
Tehran.11,Iran,Tehran,0
Tehran.12,Iran,Tehran,49.77238805970149
Tehran.13,Iran,Tehran,27.92222222222222
Tehran.14,Iran,Tehran,25.17037037037037
Tehran.15,Iran,Tehran,20.225925925925925
Tehran.16,Iran,Tehran,0
Tehran.17,Iran,Tehran,0
Tehran.18,Iran,Tehran,0
Tehran.19,Iran,Tehran,38.78195488721804
Tehran.20,Iran,Tehran,59.656716417910445
Tehran.21,Iran,Tehran,81.15730337078652
Tehran.22,Iran,Tehran,76.4624060150376
Tehran.23,Iran,Tehran,89.32706766917293
Tehran.24,Iran,Tehran,41.561797752808985
Tehran.25,Iran,Tehran,0
Tehran.26,Iran,Tehran,29.31578947368421
Tehran.27,Iran,Tehran,55.948905109489054
Tehran.28,Iran,Tehran,0
Tehran.29,Iran,Tehran,0
Tehran.30,Iran,Tehran,0
Tehran.31,Iran,Tehran,0
Tehran.32,Iran,Tehran,0
Tehran.33,Iran,Tehran,0
Tehran.34,Iran,Tehran,0
Tehran.35,Iran,Tehran,3.720149253731343
Tehran.36,Iran,Tehran,0
Tehran.37,Iran,Tehran,0
Tehran.38,Iran,Tehran,0
Tehran.39,Iran,Tehran,0
Tehran.40,Iran,Tehran,0
Tehran.41,Iran,Tehran,0
Tehran.42,Iran,Tehran,0
