UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Anchorage.1,USA,Anchorage,1233.0434782608695,-1079.8,3659.4
Anchorage.2,USA,Anchorage,1165.2,-902.6,3918.4
Anchorage.3,USA,Anchorage,1344.3304347826088,-922,3480.8
Anchorage.4,USA,Anchorage,1977.3478260869565,-770.6,5534.2
Anchorage.5,USA,Anchorage,1662.7391304347825,-836,4433.2
Anchorage.6,USA,Anchorage,1652.791304347826,-765.2,4793.2
Anchorage.7,USA,Anchorage,2583.2608695652175,-444.6,6085.4
Anchorage.8,USA,Anchorage,1492.3478260869565,-748.4,4140.4
Anchorage.9,USA,Anchorage,2068.0521739130436,-624.6,4992
Anchorage.10,USA,Anchorage,2295.3826086956524,-766.6,5766.4
Anchorage.11,USA,Anchorage,1973.7478260869566,-753.6,5191.8
Anchorage.12,USA,Anchorage,1407.017391304348,-831.8,4599
Anchorage.13,USA,Anchorage,1484.0260869565218,-847.8,4815.2
Anchorage.14,USA,Anchorage,1532.6521739130435,-887.6,4686.2
Anchorage.15,USA,Anchorage,2596.2,-596.2,5910.2
Anchorage.16,USA,Anchorage,2867.8260869565215,-522.6,6324.4
Anchorage.17,USA,Anchorage,3066.8521739130433,-834,6979.2
Anchorage.18,USA,Anchorage,2914.582608695652,-648.2,6706.4
Anchorage.19,USA,Anchorage,2950.695652173913,-705,6589
Anchorage.20,USA,Anchorage,2950.695652173913,-705,6589
Anchorage.21,USA,Anchorage,3098.0173913043477,-988.8,6805.6
Anchorage.22,USA,Anchorage,3029.7739130434784,-795.6,6683.8
Anchorage.23,USA,Anchorage,3309.4695652173914,-333.4,6971
Anchorage.24,USA,Anchorage,3651.5217391304345,-373,7154.8
Anchorage.25,USA,Anchorage,4454.469565217391,158.2,8132
Anchorage.26,USA,Anchorage,3979.6434782608694,-182.8,7812.2
Anchorage.27,USA,Anchorage,4047.426086956522,-869,7458.4
Anchorage.28,USA,Anchorage,4276.834782608696,227.6,7692.2
Anchorage.29,USA,Anchorage,4240.721739130435,-227.8,7735.4
Anchorage.30,USA,Anchorage,4186.060869565217,-492,7882
Anchorage.31,USA,Anchorage,4004.2608695652175,-140.8,7783.4
Anchorage.32,USA,Anchorage,3985.504347826087,-1079,7675.8
Anchorage.33,USA,Anchorage,3766.1304347826085,-516.2,7587.6
Anchorage.34,USA,Anchorage,3766.1304347826085,-516.2,7587.6
Anchorage.35,USA,Anchorage,3991.8260869565215,-1297.4,8107.8
Anchorage.36,USA,Anchorage,3915.095652173913,-1135,7929.2
Anchorage.37,USA,Anchorage,4051.973913043478,-339.6,7846.6
Anchorage.38,USA,Anchorage,4203.965217391305,-379.4,8189
Anchorage.39,USA,Anchorage,4004.982608695652,-1897.6,8720.4
Anchorage.40,USA,Anchorage,3622.2695652173916,-1695,8105.2
Anchorage.41,USA,Anchorage,3469.965217391304,-2292,8388.8
Anchorage.42,USA,Anchorage,3639.1478260869567,-1391.2,8531.2
Anchorage.43,USA,Anchorage,3380.7391304347825,-2175.4,8404.6
Anchorage.44,USA,Anchorage,3197.086956521739,-2418,8568.2
