UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Brussels.1,Belgium,Brussels,3768.895652173913,1253.8,5822.2
Brussels.2,Belgium,Brussels,3096.2347826086957,814.4,5447.6
Brussels.3,Belgium,Brussels,2449.8695652173915,730.6,5688.6
Brussels.4,Belgium,Brussels,2289.008695652174,-20.6,4929.8
Brussels.5,Belgium,Brussels,2819.3478260869565,851.2,6427.8
Brussels.6,Belgium,Brussels,3227.3739130434783,973.8,5668.4
Brussels.7,Belgium,Brussels,2584.6,42.4,4514
Brussels.8,Belgium,Brussels,3354.6608695652176,1092.8,5614
Brussels.9,Belgium,Brussels,4098.939130434783,1677.4,6203.2
Brussels.10,Belgium,Brussels,6566.773913043478,2254.2,8355.4
Brussels.11,Belgium,Brussels,7097.843478260869,3514.8,8639.2
Brussels.12,Belgium,Brussels,7044.939130434783,2115.4,8738.6
Brussels.13,Belgium,Brussels,6834.156521739131,2959.2,8469.4
Brussels.14,Belgium,Brussels,6787.486956521739,2519.6,8445.4
Brussels.15,Belgium,Brussels,6959.130434782609,2861,8896.2
Brussels.16,Belgium,Brussels,6620.234782608696,2900.6,8472.4
Brussels.17,Belgium,Brussels,6514.052173913044,2381.6,8743.2
Brussels.18,Belgium,Brussels,6101.04347826087,1813.2,8371
Brussels.19,Belgium,Brussels,6941.869565217391,2801.2,9049.2
Brussels.20,Belgium,Brussels,6933.295652173913,3000.4,8996.2
Brussels.21,Belgium,Brussels,6666.808695652174,178.4,8964
Brussels.22,Belgium,Brussels,5697.565217391304,2239.6,8191.2
Brussels.23,Belgium,Brussels,3387.5565217391304,1644,5131.2
Brussels.24,Belgium,Brussels,3666.7652173913043,1973.8,4897.2
Brussels.25,Belgium,Brussels,4351.269565217392,2052.4,5796.6
Brussels.26,Belgium,Brussels,5053.947826086956,2353.6,7351
Brussels.27,Belgium,Brussels,5138.982608695652,2377.4,6646.6
Brussels.28,Belgium,Brussels,5365.617391304348,2432,7307
Brussels.29,Belgium,Brussels,5364.313043478261,2306,6906.2
Brussels.30,Belgium,Brussels,5338.452173913043,2271.6,7439.2
