UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Fredericton.1,Canada,Fredericton,1886.2,-217.8,4413.2
Fredericton.2,Canada,Fredericton,1886.2,-217.8,4413.2
Fredericton.3,Canada,Fredericton,1886.2,-217.8,4413.2
Fredericton.4,Canada,Fredericton,2219.0434782608695,-780.6,4720
Fredericton.5,Canada,Fredericton,2219.0434782608695,-780.6,4720
Fredericton.6,Canada,Fredericton,2010.7739130434784,-372.6,5282.2
Fredericton.7,Canada,Fredericton,3185.24347826087,-84,6579.6
Fredericton.8,Canada,Fredericton,3185.24347826087,-84,6579.6
Fredericton.9,Canada,Fredericton,3839.026086956522,-9.6,6962.4
Fredericton.10,Canada,Fredericton,3889.573913043478,-295,7329
Fredericton.11,Canada,Fredericton,3152.113043478261,-2374.2,7612.8
Fredericton.12,Canada,Fredericton,3835.0869565217395,-1479,7694.6
Fredericton.13,Canada,Fredericton,4079.5913043478263,24.4,7740.2
Fredericton.14,Canada,Fredericton,4079.5913043478263,24.4,7740.2
Fredericton.15,Canada,Fredericton,4138.608695652174,-5.8,7806.2
Fredericton.16,Canada,Fredericton,3351.208695652174,-595.6,6593
Fredericton.17,Canada,Fredericton,3786.4521739130437,-76.4,6932.2
Fredericton.18,Canada,Fredericton,3750.426086956522,-868.4,7400.2
Fredericton.19,Canada,Fredericton,3750.426086956522,-868.4,7400.2
Fredericton.20,Canada,Fredericton,4300.086956521739,-432.8,7936.6
Fredericton.21,Canada,Fredericton,4208.513043478261,-1276.4,7872.6
Fredericton.22,Canada,Fredericton,4503.852173913044,-539,8105.4
Fredericton.23,Canada,Fredericton,4580.104347826087,-57.8,8084
Fredericton.24,Canada,Fredericton,4580.104347826087,-57.8,8084
Fredericton.25,Canada,Fredericton,4171.356521739131,-335,7226.2
Fredericton.26,Canada,Fredericton,4403.469565217391,-72.8,7590.2
Fredericton.27,Canada,Fredericton,4512.121739130434,-17.6,7896.2
Fredericton.28,Canada,Fredericton,4454.217391304348,-177,7766.6
Fredericton.29,Canada,Fredericton,4258.391304347826,235.2,7413.4
Fredericton.30,Canada,Fredericton,4011.9217391304346,280.8,7118.6
Fredericton.31,Canada,Fredericton,4078.5565217391304,168.6,7843.2
Fredericton.32,Canada,Fredericton,4257.104347826087,25.6,7831.8
Fredericton.33,Canada,Fredericton,4257.104347826087,25.6,7831.8
Fredericton.34,Canada,Fredericton,5085.44347826087,242.4,8593.8
Fredericton.35,Canada,Fredericton,4544.469565217391,341.2,8302.4
Fredericton.36,Canada,Fredericton,4488.913043478261,14.2,8129.8
Fredericton.37,Canada,Fredericton,4826.704347826087,306.2,8214.6
Fredericton.38,Canada,Fredericton,4826.704347826087,306.2,8214.6
Fredericton.39,Canada,Fredericton,4912.617391304348,299.4,8238.4
Fredericton.40,Canada,Fredericton,4153.713043478261,-301,7672.6
