UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Jacksonville.1,USA,Jacksonville,3622.408695652174,2355,4940
Jacksonville.2,USA,Jacksonville,3622.408695652174,2355,4940
Jacksonville.3,USA,Jacksonville,4623.347826086957,3240,5493
Jacksonville.4,USA,Jacksonville,4065.634782608696,2253.6,5483
Jacksonville.5,USA,Jacksonville,3548.313043478261,2307.6,4665.8
Jacksonville.6,USA,Jacksonville,3086.452173913043,2115.6,4280.2
Jacksonville.7,USA,Jacksonville,6970.608695652174,5515.6,7808.4
Jacksonville.8,USA,Jacksonville,5875.652173913043,3921.6,6927.2
Jacksonville.9,USA,Jacksonville,5751.04347826087,4318.8,6721
Jacksonville.10,USA,Jacksonville,4521.713043478261,1019.6,6378.4
Jacksonville.11,USA,Jacksonville,5309.182608695653,2541.4,6767.6
Jacksonville.12,USA,Jacksonville,4408.434782608696,2595.4,5701.6
Jacksonville.13,USA,Jacksonville,5975.173913043478,3192.8,7524.6
Jacksonville.14,USA,Jacksonville,4949.930434782608,3286.2,6067.8
Jacksonville.15,USA,Jacksonville,5457.843478260869,4223.4,6822.8
Jacksonville.16,USA,Jacksonville,7114.460869565218,4789.2,8082.6
Jacksonville.17,USA,Jacksonville,6942.973913043478,5250.6,8439.4
Jacksonville.18,USA,Jacksonville,6276.365217391304,3597,7638.4
Jacksonville.19,USA,Jacksonville,7048.069565217392,4392,8025.4
Jacksonville.20,USA,Jacksonville,7596.434782608696,5562,8741.6
Jacksonville.21,USA,Jacksonville,7303.008695652174,5286.4,8255
Jacksonville.22,USA,Jacksonville,6961.573913043479,4509,8577.2
Jacksonville.23,USA,Jacksonville,4625.278260869565,2468,6223.2
Jacksonville.24,USA,Jacksonville,6541.226086956522,4964.6,7981.8
Jacksonville.25,USA,Jacksonville,6967.608695652174,5198.2,8383
Jacksonville.26,USA,Jacksonville,6222.173913043478,4212.8,7688
Jacksonville.27,USA,Jacksonville,4337.026086956522,2893.4,5817
Jacksonville.28,USA,Jacksonville,6850.339130434782,4008.6,8258.2
Jacksonville.29,USA,Jacksonville,7618.339130434782,6210.4,8682
Jacksonville.30,USA,Jacksonville,6930.895652173913,2757.4,7902.8
Jacksonville.31,USA,Jacksonville,5901.026086956522,2141.2,7859.8
Jacksonville.32,USA,Jacksonville,6799.060869565217,4257.6,8062.2
Jacksonville.33,USA,Jacksonville,6784.573913043479,5107.6,7942.2
Jacksonville.34,USA,Jacksonville,6607.173913043478,3804.6,8342.4
Jacksonville.35,USA,Jacksonville,6237.913043478261,4453,7868
