UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Kunming.1,China,Kunming,3542.4,1432.2,5072.8
Kunming.2,China,Kunming,2902.2608695652175,597.4,4310.2
Kunming.3,China,Kunming,2537.973913043478,-149.4,3694
Kunming.4,China,Kunming,2610.513043478261,717.2,3973.4
Kunming.5,China,Kunming,2327.6434782608694,815.8,3762.4
Kunming.6,China,Kunming,2696.0521739130436,860,4979.8
Kunming.7,China,Kunming,2662.7739130434784,987.6,4855
Kunming.8,China,Kunming,3022.104347826087,1034.4,4966.4
Kunming.9,China,Kunming,2991.75652173913,915.4,4335.4
Kunming.10,China,Kunming,3137.1652173913044,1030.4,4557.2
Kunming.11,China,Kunming,3366.721739130435,32.8,5270.6
Kunming.12,China,Kunming,3477.7826086956525,219,5011.2
Kunming.13,China,Kunming,3704.330434782609,383,6171.2
Kunming.14,China,Kunming,3447.2869565217393,26,6014.4
Kunming.15,China,Kunming,3209.913043478261,26.2,5589.6
Kunming.16,China,Kunming,3213.391304347826,748,4928
Kunming.17,China,Kunming,3652.6608695652176,720.6,5400.4
Kunming.18,China,Kunming,3634.1565217391303,1206.4,4989.4
Kunming.19,China,Kunming,3302.5478260869563,978.6,4893.6
Kunming.20,China,Kunming,2740.0782608695654,1004,4189.6
Kunming.21,China,Kunming,3185.24347826087,916,4999
Kunming.22,China,Kunming,3153.7043478260866,-15.6,4712
Kunming.23,China,Kunming,3251.4521739130437,1256.8,5966.8
Kunming.24,China,Kunming,3232.365217391304,1361.4,4886.2
Kunming.25,China,Kunming,4543.643478260869,1747.6,7319.6
Kunming.26,China,Kunming,4185.165217391304,1127.2,6422.8
Kunming.27,China,Kunming,2661.6608695652176,1037,5204.2
Kunming.28,China,Kunming,3121.4608695652173,1252.6,5398.8
Kunming.29,China,Kunming,3047.0782608695654,-488.4,5460
Kunming.30,China,Kunming,4849.48695652174,896.8,7576.8
Kunming.31,China,Kunming,4060.808695652174,123,6798
Kunming.32,China,Kunming,3717.4695652173914,562.2,6226.8
Kunming.33,China,Kunming,4675.365217391304,612.4,7470.4
Kunming.34,China,Kunming,3645.4086956521737,1228.8,5354
Kunming.35,China,Kunming,3974.3478260869565,134,6827.4
Kunming.36,China,Kunming,4289.147826086956,586,7125.4
Kunming.37,China,Kunming,4060.191304347826,304.2,6961.6
Kunming.38,China,Kunming,4601.052173913044,-12.2,7691.8
Kunming.39,China,Kunming,4880.973913043478,-278,7792
Kunming.40,China,Kunming,4843.147826086956,446.8,7482.8
Kunming.41,China,Kunming,4969.069565217391,1440.8,7556
Kunming.42,China,Kunming,5931.304347826087,1423.2,8239.2
Kunming.43,China,Kunming,5747.391304347826,-126.6,8216.2
Kunming.44,China,Kunming,5800.973913043478,792.6,8911.8
Kunming.45,China,Kunming,5727.460869565218,932.2,8230.8
Kunming.46,China,Kunming,5634.565217391304,648,8890
Kunming.47,China,Kunming,5189.469565217391,1065.2,7556
Kunming.48,China,Kunming,4776.626086956522,282.8,7246.2
Kunming.49,China,Kunming,4546.04347826087,-252.6,7453.2
Kunming.50,China,Kunming,5428.669565217391,1619.6,8267.6
