UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Memphis.1,USA,Memphis,2960.669565217391,1657.2,4439.4
Memphis.2,USA,Memphis,1868.6260869565217,667,3186.2
Memphis.3,USA,Memphis,2023.104347826087,1120.6,3184.2
Memphis.4,USA,Memphis,1812.6434782608696,1101.4,3249.8
Memphis.5,USA,Memphis,2165.2,1173,3850
Memphis.6,USA,Memphis,2254.904347826087,638.2,3595
Memphis.7,USA,Memphis,1069.695652173913,-1410.6,2909.2
Memphis.8,USA,Memphis,2267.7739130434784,1242.2,3301.2
Memphis.9,USA,Memphis,2267.7739130434784,1242.2,3301.2
Memphis.10,USA,Memphis,2055.0434782608695,1179,3209.8
Memphis.11,USA,Memphis,2089.104347826087,1096,3194
Memphis.12,USA,Memphis,2568.9826086956523,1280.8,3850.6
Memphis.13,USA,Memphis,3121.2,1085.4,5220.4
Memphis.14,USA,Memphis,1958.9913043478261,1158.8,2773.2
Memphis.15,USA,Memphis,5090.75652173913,2276.2,6991.6
Memphis.16,USA,Memphis,4988.878260869566,2039.8,6779.2
Memphis.17,USA,Memphis,4587.313043478261,2716.4,6394.4
Memphis.18,USA,Memphis,5275.191304347826,3005,6987.8
Memphis.19,USA,Memphis,5398.217391304348,3241.4,6876.2
Memphis.20,USA,Memphis,5313.356521739131,2780.2,6964.6
Memphis.21,USA,Memphis,5133.417391304348,2765,6770.4
Memphis.22,USA,Memphis,4303.208695652174,2255.2,6416.2
Memphis.23,USA,Memphis,3134.2260869565216,1584.8,4640
Memphis.24,USA,Memphis,4507.321739130435,2006.8,7341
Memphis.25,USA,Memphis,1764.8608695652174,630.8,3889
Memphis.26,USA,Memphis,4744.695652173913,2027.8,7346.4
Memphis.27,USA,Memphis,4094.3478260869565,1544,6800.8
Memphis.28,USA,Memphis,5622.182608695653,3634.8,7310.4
Memphis.29,USA,Memphis,6159.365217391304,3126.4,7877.8
Memphis.30,USA,Memphis,5621.913043478261,3029.2,7648.6
Memphis.31,USA,Memphis,6403.678260869565,3708.2,8299.8
Memphis.32,USA,Memphis,5872.834782608696,3593.2,7828.2
Memphis.33,USA,Memphis,5112.686956521739,3019.4,6730.6
Memphis.34,USA,Memphis,5675.156521739131,4009.6,7358.2
Memphis.35,USA,Memphis,5704.878260869565,3805.6,7432.8
Memphis.36,USA,Memphis,6350.495652173913,3537.8,8347
Memphis.37,USA,Memphis,5904.617391304348,3632.8,7820.4
Memphis.38,USA,Memphis,5548.347826086957,3081.4,7130
Memphis.39,USA,Memphis,4544.286956521739,2568.6,6625
Memphis.40,USA,Memphis,4263.51304347826,2588.8,5889
Memphis.41,USA,Memphis,5370.55652173913,3248,7203.4
Memphis.42,USA,Memphis,6788.930434782609,4073.2,8549.8
Memphis.43,USA,Memphis,6873.226086956522,4006.8,8825.6
Memphis.44,USA,Memphis,6109.878260869565,3704,8105
Memphis.45,USA,Memphis,6439.147826086956,3827,8426.8
Memphis.46,USA,Memphis,6269.51304347826,3857.8,8081.6
Memphis.47,USA,Memphis,6865.24347826087,3833.8,8879.6
Memphis.48,USA,Memphis,5007.713043478261,2737.2,6693.6
Memphis.49,USA,Memphis,5007.713043478261,2737.2,6693.6
Memphis.50,USA,Memphis,5594.486956521739,3678.2,7524.8
