UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Munich.1,Germany,Munich,4518.069565217392,314.6,6015.6
Munich.2,Germany,Munich,5054.730434782608,175.6,7447.2
Munich.3,Germany,Munich,6339.173913043478,262.8,8308.6
Munich.4,Germany,Munich,5712.486956521739,221.6,8377
Munich.5,Germany,Munich,5719.747826086957,345.4,8380.2
Munich.6,Germany,Munich,5766.643478260869,497.8,7901.8
Munich.7,Germany,Munich,4899.095652173914,759,6167
Munich.8,Germany,Munich,4448.234782608695,712,5777
Munich.9,Germany,Munich,4212.852173913044,660.2,5768.6
Munich.10,Germany,Munich,5064.486956521739,657.4,6391.2
Munich.11,Germany,Munich,5856.086956521739,387.6,7548.2
Munich.12,Germany,Munich,6369.973913043478,351.6,8148.6
Munich.13,Germany,Munich,6466.060869565217,380.6,8235
Munich.14,Germany,Munich,5640.182608695653,307.2,8170.6
Munich.15,Germany,Munich,4849.373913043478,-315.4,7237.6
Munich.16,Germany,Munich,6096.130434782609,350.2,8052.2
Munich.17,Germany,Munich,5839.747826086957,380.4,8123
Munich.18,Germany,Munich,5455.695652173913,81.4,7324
Munich.19,Germany,Munich,5485.139130434783,172.2,7522
Munich.20,Germany,Munich,4846.921739130435,197.2,6604.6
Munich.21,Germany,Munich,4808.652173913044,216.2,7444.4
Munich.22,Germany,Munich,4124.626086956522,281.8,6484
Munich.23,Germany,Munich,4603.51304347826,228.2,6682.6
Munich.24,Germany,Munich,4874.921739130435,270.4,7382.6
Munich.25,Germany,Munich,4876.165217391304,460.6,6741.8
Munich.26,Germany,Munich,4648.052173913044,721.8,6286
Munich.27,Germany,Munich,4610.04347826087,987.8,5874
Munich.28,Germany,Munich,4619.826086956522,916,6568
Munich.29,Germany,Munich,4578.495652173913,953,6501.8
Munich.30,Germany,Munich,4908.495652173913,1000.6,6397.8
Munich.31,Germany,Munich,4706.434782608696,804.4,6237.2
Munich.32,Germany,Munich,6400.573913043479,604,8475.2
Munich.33,Germany,Munich,6018.04347826087,1498,7932.8
Munich.34,Germany,Munich,6159.695652173913,1002.2,8299.8
Munich.35,Germany,Munich,4564.591304347826,421.2,6128.6
Munich.36,Germany,Munich,4762.669565217391,175,6239.8
Munich.37,Germany,Munich,3712.913043478261,584.6,5355.6
Munich.38,Germany,Munich,4652.721739130435,499.6,6468.6
Munich.39,Germany,Munich,4355.060869565217,409.2,5951.4
Munich.40,Germany,Munich,3093.3217391304347,214,5055.8
Munich.41,Germany,Munich,2899.1565217391303,121.2,4308
Munich.42,Germany,Munich,2776.521739130435,102.2,3996.6
Munich.43,Germany,Munich,3050.2434782608693,-478.4,4379.2
Munich.44,Germany,Munich,3287.8521739130438,426,4805.4
Munich.45,Germany,Munich,2114.1043478260867,232.8,3914.2
Munich.46,Germany,Munich,3031.521739130435,430,4935.6
Munich.47,Germany,Munich,2718.2521739130434,525.6,4749.6
Munich.48,Germany,Munich,2607.7652173913043,457.8,4141
Munich.49,Germany,Munich,2544.6,348.8,3958
Munich.50,Germany,Munich,1639.9391304347826,152.4,2433.6
Munich.51,Germany,Munich,2038.8869565217392,347,3094
