UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Muenster.1,Germany,Muenster,6276.04347826087,2811.2,8203
Muenster.2,Germany,Muenster,6457.113043478261,3626.4,8146.2
Muenster.3,Germany,Muenster,6303.121739130434,3362.2,8314.2
Muenster.4,Germany,Muenster,5526.886956521739,1294.2,6959.4
Muenster.5,Germany,Muenster,6894.486956521739,3202.2,8965.4
Muenster.6,Germany,Muenster,7321.860869565217,4422.2,8824.4
Muenster.7,Germany,Muenster,6226.939130434783,3502.4,8360.2
Muenster.8,Germany,Muenster,6643.130434782609,3597.2,8464.6
Muenster.9,Germany,Muenster,6453.617391304348,3193,8319.6
Muenster.10,Germany,Muenster,5720.252173913043,2920.6,7598.2
Muenster.11,Germany,Muenster,5876.530434782609,3439.8,8458
Muenster.12,Germany,Muenster,6722.008695652174,4210,8567.4
Muenster.13,Germany,Muenster,5942.878260869566,3422.4,7525.6
Muenster.14,Germany,Muenster,5930.947826086956,3107.4,8003.2
Muenster.15,Germany,Muenster,5953.739130434783,3079,8387.4
Muenster.16,Germany,Muenster,5996.939130434783,3398,7670
Muenster.17,Germany,Muenster,4364.260869565217,1867.8,5919.4
Muenster.18,Germany,Muenster,5296.217391304348,2157,6984.6
Muenster.19,Germany,Muenster,6319.226086956522,3276.6,8500.6
Muenster.20,Germany,Muenster,6050.55652173913,3133,8580.4
Muenster.21,Germany,Muenster,5570.069565217391,1991.8,7318.8
Muenster.22,Germany,Muenster,6808.565217391304,3598.6,8580.6
Muenster.23,Germany,Muenster,6268.121739130434,3663,8469.2
Muenster.24,Germany,Muenster,7184.765217391305,4544.8,8536
Muenster.25,Germany,Muenster,5501.052173913044,1966,7259.6
Muenster.26,Germany,Muenster,5578.930434782608,2874.6,8238
Muenster.27,Germany,Muenster,6361.913043478261,3540.2,8240.4
Muenster.28,Germany,Muenster,6957.139130434783,1926.6,8567
Muenster.29,Germany,Muenster,6380.730434782608,3253.2,8183.6
Muenster.30,Germany,Muenster,5680.069565217392,3428.2,7249.6
Muenster.31,Germany,Muenster,6103.139130434783,2687.4,8605.8
Muenster.32,Germany,Muenster,6940.165217391304,4180,8758.2
Muenster.33,Germany,Muenster,5707.356521739131,3259.6,7906.6
Muenster.34,Germany,Muenster,6139.55652173913,1952.4,8192
Muenster.35,Germany,Muenster,6225.2,3065.6,8590.2
Muenster.36,Germany,Muenster,5527.121739130435,3241,7551
Muenster.37,Germany,Muenster,6164.747826086957,3339.2,8499.4
Muenster.38,Germany,Muenster,5021.260869565218,2393.6,7546.4
Muenster.39,Germany,Muenster,7011.669565217391,3508.8,8411
Muenster.40,Germany,Muenster,6126.713043478261,3308.6,8123.6
