UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Newcastle.1,Australia,Newcastle,7635.834782608696,5915.8,8334.8
Newcastle.2,Australia,Newcastle,6377.382608695652,3840.4,8334.8
Newcastle.3,Australia,Newcastle,5913.234782608695,4520.2,7359.8
Newcastle.4,Australia,Newcastle,6499.608695652174,4183.2,7717.8
Newcastle.5,Australia,Newcastle,8249.06956521739,6554.6,8919
Newcastle.6,Australia,Newcastle,4093.478260869565,2848.2,5177
Newcastle.7,Australia,Newcastle,5912.617391304348,4540.6,7276.6
Newcastle.8,Australia,Newcastle,3664.2347826086957,2248.8,4605
Newcastle.9,Australia,Newcastle,5562.252173913043,3750.2,7091.4
Newcastle.10,Australia,Newcastle,6910.643478260869,5770.8,7863
Newcastle.11,Australia,Newcastle,5940.591304347826,4286.2,7451.6
Newcastle.12,Australia,Newcastle,7421.252173913043,6384.6,8229.4
Newcastle.13,Australia,Newcastle,-2948.0695652173913,-3000,-1805.6
Newcastle.14,Australia,Newcastle,5748.913043478261,4063,7317.8
Newcastle.15,Australia,Newcastle,4340.852173913044,3311.8,5150
Newcastle.16,Australia,Newcastle,6400.669565217391,5086.6,7707.4
Newcastle.17,Australia,Newcastle,7749.947826086956,6668.8,8448.4
Newcastle.18,Australia,Newcastle,2816.721739130435,-3000,8019.2
Newcastle.19,Australia,Newcastle,6824.48695652174,5726.6,7714.6
Newcastle.20,Australia,Newcastle,8085.469565217391,6917.4,8684.2
Newcastle.21,Australia,Newcastle,6816.391304347826,4497.8,7979.2
Newcastle.22,Australia,Newcastle,5844.704347826087,4450.4,7375.6
Newcastle.23,Australia,Newcastle,6441.904347826086,4537.2,8125.6
Newcastle.24,Australia,Newcastle,7315.904347826086,5312.4,8132.4
Newcastle.25,Australia,Newcastle,7499.75652173913,5115.6,8321.6
Newcastle.26,Australia,Newcastle,-2396.391304347826,-3000,2811
Newcastle.27,Australia,Newcastle,7893.356521739131,6506.2,8728.6
Newcastle.28,Australia,Newcastle,5560.626086956522,4271.4,6942.4
Newcastle.29,Australia,Newcastle,7627.2,4496.4,8350.8
Newcastle.30,Australia,Newcastle,5918.24347826087,1635.2,8245.4
Newcastle.31,Australia,Newcastle,6479.947826086956,3379.2,7823.4
Newcastle.32,Australia,Newcastle,6136.330434782609,4662.8,7420.2
Newcastle.33,Australia,Newcastle,6988.2,5202.6,8050.4
Newcastle.34,Australia,Newcastle,6592.295652173913,4405.2,8277
Newcastle.35,Australia,Newcastle,6341.417391304348,4370.6,7879.2
Newcastle.36,Australia,Newcastle,7614.843478260869,4603.4,8398
Newcastle.37,Australia,Newcastle,6371.4,3233.2,8040.8
Newcastle.38,Australia,Newcastle,5169.278260869565,1553.4,7370.2
Newcastle.39,Australia,Newcastle,6102.652173913044,4077.6,7021.6
