UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Waterloo.1,Canada,Waterloo,4319.269565217392,1.6,8308.4
Waterloo.2,Canada,Waterloo,2140.2608695652175,-133.8,3844
Waterloo.3,Canada,Waterloo,3893.208695652174,-115.4,8044.2
Waterloo.4,Canada,Waterloo,4579.921739130435,-130.6,8034.6
Waterloo.5,Canada,Waterloo,2382.5304347826086,-124.8,5207.6
Waterloo.6,Canada,Waterloo,3133.113043478261,-79,5614.2
Waterloo.7,Canada,Waterloo,4264.539130434782,-239.6,8850
Waterloo.8,Canada,Waterloo,4217.713043478261,-61.2,7798.8
Waterloo.9,Canada,Waterloo,3426.0695652173913,-204,7115
Waterloo.10,Canada,Waterloo,4085.521739130435,258.6,6728.4
Waterloo.11,Canada,Waterloo,4951.669565217391,198.2,8687.2
Waterloo.12,Canada,Waterloo,4018.782608695652,-234.8,7969
Waterloo.13,Canada,Waterloo,2297.6521739130435,-63.6,3997
Waterloo.14,Canada,Waterloo,5520.947826086956,493,8643
Waterloo.15,Canada,Waterloo,2840.269565217391,27,5710.6
Waterloo.16,Canada,Waterloo,4108.834782608696,-176,7743.2
Waterloo.17,Canada,Waterloo,2788.547826086957,-14.8,5073
Waterloo.18,Canada,Waterloo,3952.330434782609,-275.8,8048.4
Waterloo.19,Canada,Waterloo,3038.547826086957,84,6042
Waterloo.20,Canada,Waterloo,3407.0173913043477,-30.8,6567
Waterloo.21,Canada,Waterloo,3290.104347826087,-55.2,5908.2
Waterloo.22,Canada,Waterloo,2350.6,-835,4262
Waterloo.23,Canada,Waterloo,2820.6869565217394,-101.8,6352
Waterloo.24,Canada,Waterloo,3438.8608695652174,-63.4,5794.2
Waterloo.25,Canada,Waterloo,1625.2608695652175,-129.2,3743.6
Waterloo.26,Canada,Waterloo,4991.365217391304,110.8,8798.8
Waterloo.27,Canada,Waterloo,3521.2347826086957,-877.4,6105
Waterloo.28,Canada,Waterloo,3966.486956521739,317,6480.4
Waterloo.29,Canada,Waterloo,3726.208695652174,-264.2,6146.2
Waterloo.30,Canada,Waterloo,4411.017391304348,32.4,7815
