UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Amsterdam.1,Netherlands,Amsterdam,4979.147826086956,2796.6,7548.6
Amsterdam.2,Netherlands,Amsterdam,4969.217391304348,2602.8,7016.2
Amsterdam.3,Netherlands,Amsterdam,4969.217391304348,2602.8,7016.2
Amsterdam.4,Netherlands,Amsterdam,6963.130434782609,3038.4,8959.2
Amsterdam.5,Netherlands,Amsterdam,6854.339130434782,4063.4,8390.2
Amsterdam.6,Netherlands,Amsterdam,7575.782608695652,3912.8,9025.6
Amsterdam.7,Netherlands,Amsterdam,6735.373913043478,2801.2,8262.8
Amsterdam.8,Netherlands,Amsterdam,7640.965217391305,3800.4,9003.6
Amsterdam.9,Netherlands,Amsterdam,6683.843478260869,3467.2,8177.2
Amsterdam.10,Netherlands,Amsterdam,7380.113043478261,3858.2,8895.8
Amsterdam.11,Netherlands,Amsterdam,7294.478260869565,4125.4,8734.8
Amsterdam.12,Netherlands,Amsterdam,7519.147826086956,5140.8,8958.2
Amsterdam.13,Netherlands,Amsterdam,7779.513043478261,5818.4,9105.2
Amsterdam.14,Netherlands,Amsterdam,7512.347826086957,4838.4,8751.2
Amsterdam.15,Netherlands,Amsterdam,7777.991304347826,4436.8,9105.4
Amsterdam.16,Netherlands,Amsterdam,7640.965217391305,3800.4,9003.6
Amsterdam.17,Netherlands,Amsterdam,2737.8521739130433,820.2,4626.6
Amsterdam.18,Netherlands,Amsterdam,1924.504347826087,233,4024.4
Amsterdam.19,Netherlands,Amsterdam,5893.382608695652,2594.6,7789
Amsterdam.20,Netherlands,Amsterdam,865.2086956521739,-1002.2,3434.4
Amsterdam.21,Netherlands,Amsterdam,6097.565217391304,2852,7971.6
Amsterdam.22,Netherlands,Amsterdam,2939.2,1271.4,4332.6
Amsterdam.23,Netherlands,Amsterdam,4651.817391304347,1297,6394.2
Amsterdam.24,Netherlands,Amsterdam,3554.391304347826,943.8,6346
Amsterdam.25,Netherlands,Amsterdam,2013.6434782608694,503.4,3139.6
Amsterdam.26,Netherlands,Amsterdam,5102.921739130435,2673.6,7519.2
Amsterdam.27,Netherlands,Amsterdam,6749.530434782609,2838.2,8228.4
Amsterdam.28,Netherlands,Amsterdam,5645.565217391304,1606,7826.6
Amsterdam.29,Netherlands,Amsterdam,5036.730434782608,875,7063.6
Amsterdam.30,Netherlands,Amsterdam,4632.095652173913,1417.4,6349.4
Amsterdam.31,Netherlands,Amsterdam,690.2695652173912,-2566.8,4041.8
Amsterdam.32,Netherlands,Amsterdam,2626.2608695652175,436.6,4262.4
Amsterdam.33,Netherlands,Amsterdam,3499.2260869565216,1060.8,4752.2
Amsterdam.34,Netherlands,Amsterdam,6983.04347826087,2690.4,8566
Amsterdam.35,Netherlands,Amsterdam,5648.930434782609,3258.6,7949.8
Amsterdam.36,Netherlands,Amsterdam,7067.252173913043,3683.2,8754.8
Amsterdam.37,Netherlands,Amsterdam,3183.634782608696,-372.8,5632.6
Amsterdam.38,Netherlands,Amsterdam,6797.356521739131,3418.8,8257.4
Amsterdam.39,Netherlands,Amsterdam,7123.826086956522,2850.4,8636
Amsterdam.40,Netherlands,Amsterdam,3059.495652173913,936.8,5703.8
