UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Baltimore.1,USA,Baltimore,1489.304347826087,379.6,2611.8
Baltimore.2,USA,Baltimore,1971.5478260869565,446.6,3337.6
Baltimore.3,USA,Baltimore,1075.8869565217392,364,2035
Baltimore.4,USA,Baltimore,1237.7217391304348,315.4,2185.2
Baltimore.5,USA,Baltimore,1087.2695652173913,156.2,1762.8
Baltimore.6,USA,Baltimore,1668.9739130434782,205.2,3083.2
Baltimore.7,USA,Baltimore,2174.9913043478264,428.4,3382.6
Baltimore.8,USA,Baltimore,3091.495652173913,559,4900
Baltimore.9,USA,Baltimore,2769.339130434783,527.8,4383.2
Baltimore.10,USA,Baltimore,5237.417391304348,1340,7615.4
Baltimore.11,USA,Baltimore,3343.008695652174,1188.8,5500.2
Baltimore.12,USA,Baltimore,3940.7652173913043,1310.6,5898.8
Baltimore.13,USA,Baltimore,5360.773913043478,2467.4,6997.6
Baltimore.14,USA,Baltimore,5508.156521739131,2609.2,7679.4
Baltimore.15,USA,Baltimore,5366.956521739131,2038.8,7249
Baltimore.16,USA,Baltimore,6528.747826086957,3178,8240.2
Baltimore.17,USA,Baltimore,6293.51304347826,2651.2,8607.8
Baltimore.18,USA,Baltimore,6651.808695652174,2760.8,8805.6
Baltimore.19,USA,Baltimore,6375.95652173913,2440.6,8984.2
Baltimore.20,USA,Baltimore,6902.478260869565,3371.6,9066.4
Baltimore.21,USA,Baltimore,6630.573913043479,2839.6,8724
Baltimore.22,USA,Baltimore,6535.939130434783,2925.4,8935
Baltimore.23,USA,Baltimore,6634.939130434783,1809.4,9056.2
Baltimore.24,USA,Baltimore,6476.295652173913,2068.6,8339.8
Baltimore.25,USA,Baltimore,6657.904347826086,2365.2,9105.4
Baltimore.26,USA,Baltimore,6685.026086956522,2968,9096.6
Baltimore.27,USA,Baltimore,5462.391304347826,1847,7559.8
Baltimore.28,USA,Baltimore,6411.2,2369.2,8419.4
Baltimore.29,USA,Baltimore,5830.973913043478,2371.4,8009
Baltimore.30,USA,Baltimore,5479.052173913044,1494.6,7890.4
Baltimore.31,USA,Baltimore,2879.2608695652175,719.4,5471.8
Baltimore.32,USA,Baltimore,6279.095652173913,2128.6,8485.4
Baltimore.33,USA,Baltimore,6327.695652173913,2407.6,8922.8
Baltimore.34,USA,Baltimore,6098.669565217391,2493,8463.4
Baltimore.35,USA,Baltimore,6307.469565217391,3168.8,8286.2
Baltimore.36,USA,Baltimore,5498.069565217392,2193.8,7447
Baltimore.37,USA,Baltimore,5718.591304347826,2508,7680.8
Baltimore.38,USA,Baltimore,5839.286956521739,2704.4,7934.6
Baltimore.39,USA,Baltimore,4736.052173913044,1845.2,6577.4
