UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Jacksonville.1,USA,Jacksonville,3008.008695652174,1776.6,4143
Jacksonville.2,USA,Jacksonville,3008.008695652174,1776.6,4143
Jacksonville.3,USA,Jacksonville,3919.2347826086957,2924,4444.2
Jacksonville.4,USA,Jacksonville,3253.75652173913,2139,4189.2
Jacksonville.5,USA,Jacksonville,3373.2608695652175,1947.8,4559.6
Jacksonville.6,USA,Jacksonville,4860.739130434783,3104.2,5977.4
Jacksonville.7,USA,Jacksonville,4600.721739130435,3796.2,5750.8
Jacksonville.8,USA,Jacksonville,3199.791304347826,1996.8,4702
Jacksonville.9,USA,Jacksonville,6890.330434782609,3923.4,8000.8
Jacksonville.10,USA,Jacksonville,6970.156521739131,4689.6,8219.8
Jacksonville.11,USA,Jacksonville,6130.921739130435,5306.4,7018.8
Jacksonville.12,USA,Jacksonville,6186.913043478261,4010.8,7308.2
Jacksonville.13,USA,Jacksonville,5490.165217391304,3921.4,6777.2
Jacksonville.14,USA,Jacksonville,6682.626086956521,4918.2,8130.2
Jacksonville.15,USA,Jacksonville,6154.434782608696,3399.2,8502
Jacksonville.16,USA,Jacksonville,6686.513043478261,4021,8060.4
Jacksonville.17,USA,Jacksonville,7653.730434782608,5692.8,8781.8
Jacksonville.18,USA,Jacksonville,7321.860869565217,4903.6,8502.2
Jacksonville.19,USA,Jacksonville,3118.660869565217,1837,4898.4
Jacksonville.20,USA,Jacksonville,8138.347826086957,6673.8,8889.8
Jacksonville.21,USA,Jacksonville,7366.173913043478,5978.4,8277.8
Jacksonville.22,USA,Jacksonville,7857.2,6475,8962.6
Jacksonville.23,USA,Jacksonville,8132.55652173913,4704.4,9289.4
Jacksonville.24,USA,Jacksonville,7958.886956521739,3442.6,9104.2
Jacksonville.25,USA,Jacksonville,7798.51304347826,4761.2,8976.8
Jacksonville.26,USA,Jacksonville,7790.730434782609,5585.8,8966
Jacksonville.27,USA,Jacksonville,7373.826086956522,5250.6,8689.4
Jacksonville.28,USA,Jacksonville,6629.313043478261,5100,8382.4
Jacksonville.29,USA,Jacksonville,8002.721739130435,5885.8,8935.6
Jacksonville.30,USA,Jacksonville,7736.156521739131,6321,8778
Jacksonville.31,USA,Jacksonville,7011.75652173913,2377.2,8251
Jacksonville.32,USA,Jacksonville,7779.48695652174,6577,8707.2
Jacksonville.33,USA,Jacksonville,7977.069565217391,6062.4,9155.8
Jacksonville.34,USA,Jacksonville,7835.278260869565,5849.4,8841.8
Jacksonville.35,USA,Jacksonville,7695.095652173913,3924.4,8838.2
