UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Muenster.1,Germany,Muenster,3277.7391304347825,1458.2,5095.2
Muenster.2,Germany,Muenster,4497.373913043478,1909.6,6405
Muenster.3,Germany,Muenster,3277.7391304347825,1458.2,5095.2
Muenster.4,Germany,Muenster,3267.2260869565216,1472.8,4557.4
Muenster.5,Germany,Muenster,3267.2260869565216,1472.8,4557.4
Muenster.6,Germany,Muenster,3640.634782608696,1591.8,5833
Muenster.7,Germany,Muenster,3640.634782608696,1591.8,5833
Muenster.8,Germany,Muenster,3529.0521739130436,785.6,5148.6
Muenster.9,Germany,Muenster,3916.2260869565216,954.6,5815.6
Muenster.10,Germany,Muenster,4265.460869565218,1338.4,6411.4
Muenster.11,Germany,Muenster,4673.173913043478,2073.6,6754.8
Muenster.12,Germany,Muenster,5167.826086956522,2396.6,7235.2
Muenster.13,Germany,Muenster,5378.278260869565,2973.6,7211.4
Muenster.14,Germany,Muenster,4941.165217391304,2763.4,6853
Muenster.15,Germany,Muenster,6208.95652173913,3677.2,8059.4
Muenster.16,Germany,Muenster,6019.495652173913,3765.6,8189.6
Muenster.17,Germany,Muenster,6030.530434782609,3864.2,8240.2
Muenster.18,Germany,Muenster,6371.382608695652,4047.2,8370
Muenster.19,Germany,Muenster,5539.617391304348,3092.6,8037.4
Muenster.20,Germany,Muenster,5098.347826086956,2284.4,7100
Muenster.21,Germany,Muenster,5361.8,2430,6990.4
Muenster.22,Germany,Muenster,5298.069565217391,2428,7278.2
Muenster.23,Germany,Muenster,5055.008695652174,2305,6637.8
Muenster.24,Germany,Muenster,5448.460869565218,2866.4,7178.2
Muenster.25,Germany,Muenster,5957.278260869565,3475.6,7723.8
Muenster.26,Germany,Muenster,6737.208695652174,4440.2,8242.4
Muenster.27,Germany,Muenster,6372.373913043478,4267,8274
Muenster.28,Germany,Muenster,6250.860869565217,3735,8145.4
Muenster.29,Germany,Muenster,6262.965217391305,3833.4,8360.8
Muenster.30,Germany,Muenster,6219.191304347826,4178.8,8585.4
Muenster.31,Germany,Muenster,6059.747826086957,2436.2,7925.8
Muenster.32,Germany,Muenster,6164.878260869566,2562.2,8074.2
Muenster.33,Germany,Muenster,6788.034782608695,3811.4,8544.6
Muenster.34,Germany,Muenster,6055.339130434782,3585.2,8097
Muenster.35,Germany,Muenster,6245.121739130435,3465.4,8096.4
Muenster.36,Germany,Muenster,6517.747826086957,3593.6,8470
Muenster.37,Germany,Muenster,6488.782608695652,4119.4,8725.2
Muenster.38,Germany,Muenster,6120.947826086956,2597.8,8151.4
Muenster.39,Germany,Muenster,6279.660869565218,3935.4,8274.4
Muenster.40,Germany,Muenster,6275.695652173913,4333.8,8501.4
