UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Norfolk.1,USA,Norfolk,5141.695652173913,2183.6,8768.8
Norfolk.2,USA,Norfolk,7114.904347826087,4399,9135.6
Norfolk.3,USA,Norfolk,6048.452173913043,2851.6,8088
Norfolk.4,USA,Norfolk,7225.078260869565,4434.2,9069.8
Norfolk.5,USA,Norfolk,6921.739130434782,3988.6,9054.6
Norfolk.6,USA,Norfolk,5464.060869565217,2635.4,9054.6
Norfolk.7,USA,Norfolk,5750.452173913043,2982.8,8550.8
Norfolk.8,USA,Norfolk,5481.052173913044,1575,8877.8
Norfolk.9,USA,Norfolk,5372.208695652174,1925.4,8633.8
Norfolk.10,USA,Norfolk,5097.373913043478,1516.6,9063.8
Norfolk.11,USA,Norfolk,6120.730434782608,2215.8,9149.2
Norfolk.12,USA,Norfolk,5756.773913043478,2477.6,8306.6
Norfolk.13,USA,Norfolk,5919.086956521739,2748.6,8618
Norfolk.14,USA,Norfolk,5163.565217391304,1984.6,8328.4
Norfolk.15,USA,Norfolk,5388.0086956521745,1559.2,8621.8
Norfolk.16,USA,Norfolk,5788.44347826087,2581.8,7816.8
Norfolk.17,USA,Norfolk,5742.069565217391,3146,8644.8
Norfolk.18,USA,Norfolk,5864.695652173913,2775.2,7596.4
Norfolk.19,USA,Norfolk,6612.51304347826,3191,8327.2
Norfolk.20,USA,Norfolk,5743.130434782609,2577.2,8005
Norfolk.21,USA,Norfolk,5329.478260869565,2871,6711
Norfolk.22,USA,Norfolk,4847.878260869566,2261,6352
Norfolk.23,USA,Norfolk,5287.75652173913,2134.4,6852.4
Norfolk.24,USA,Norfolk,4999.721739130435,1846.6,6797.2
Norfolk.25,USA,Norfolk,4087.6260869565217,1220,6269.2
Norfolk.26,USA,Norfolk,3259.4,797,5653.6
Norfolk.27,USA,Norfolk,4710.904347826087,1875.4,6182
Norfolk.28,USA,Norfolk,5229.417391304348,2169.2,6372.8
Norfolk.29,USA,Norfolk,5363.278260869565,2281.2,6896.6
Norfolk.30,USA,Norfolk,5560.539130434783,2109.6,7580.6
Norfolk.31,USA,Norfolk,3591.2347826086957,-181.2,6230.8
Norfolk.32,USA,Norfolk,2673.6260869565217,-3000,5524.8
Norfolk.33,USA,Norfolk,3388.4086956521737,-439.6,5103.2
Norfolk.34,USA,Norfolk,3638.634782608696,1784.4,5132
Norfolk.35,USA,Norfolk,1867.791304347826,-387.8,3257.2
Norfolk.36,USA,Norfolk,2089.782608695652,-1461.2,3826.8
Norfolk.37,USA,Norfolk,1617.4608695652173,-2171.8,2947.6
Norfolk.38,USA,Norfolk,1252.8521739130435,-3000,3227.6
Norfolk.39,USA,Norfolk,4281.408695652174,2199,6422.6
