UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Reutlingen.1,Germany,Reutlingen,4364.75652173913,1603.6,6180.8
Reutlingen.2,Germany,Reutlingen,4167.165217391304,1700.2,6330.6
Reutlingen.3,Germany,Reutlingen,4167.165217391304,1700.2,6330.6
Reutlingen.4,Germany,Reutlingen,2422.886956521739,1151.2,3514.4
Reutlingen.5,Germany,Reutlingen,3096.573913043478,1555,4078
Reutlingen.6,Germany,Reutlingen,4278.634782608696,2000.8,6626.4
Reutlingen.7,Germany,Reutlingen,3245.2521739130434,757.4,4644.6
Reutlingen.8,Germany,Reutlingen,3630.4086956521737,1980.2,4933.4
Reutlingen.9,Germany,Reutlingen,4128.426086956522,2003,6064.6
Reutlingen.10,Germany,Reutlingen,4743.026086956522,2506.4,6293.4
Reutlingen.11,Germany,Reutlingen,4325.921739130435,2387.4,5461.6
Reutlingen.12,Germany,Reutlingen,5760.886956521739,3077.2,7481
Reutlingen.13,Germany,Reutlingen,5806.495652173913,2968,7569.4
Reutlingen.14,Germany,Reutlingen,6024.04347826087,3356,8076
Reutlingen.15,Germany,Reutlingen,5762.069565217392,2744.6,7371.8
Reutlingen.16,Germany,Reutlingen,6161.582608695652,3233.4,7978.6
Reutlingen.17,Germany,Reutlingen,6343.2,3558.8,8223
Reutlingen.18,Germany,Reutlingen,5667.669565217391,3386.6,7445.6
Reutlingen.19,Germany,Reutlingen,5261.295652173913,2641.6,6536.6
Reutlingen.20,Germany,Reutlingen,6004.313043478261,3126.4,7596
Reutlingen.21,Germany,Reutlingen,6160.304347826087,3281.8,7796.6
Reutlingen.22,Germany,Reutlingen,6383.130434782609,3473,8188.8
Reutlingen.23,Germany,Reutlingen,6462.008695652174,3390.4,8122.2
Reutlingen.24,Germany,Reutlingen,6324.460869565218,2584.8,7953.8
Reutlingen.25,Germany,Reutlingen,6325.739130434783,2623.4,8121.2
Reutlingen.26,Germany,Reutlingen,5842.226086956522,2871.6,7273.2
Reutlingen.27,Germany,Reutlingen,5365.643478260869,2053,7807.2
Reutlingen.28,Germany,Reutlingen,5323.895652173913,2864,7776.2
Reutlingen.29,Germany,Reutlingen,5855.460869565218,3023.8,7464.6
Reutlingen.30,Germany,Reutlingen,6277.695652173913,3200.4,8000.6
Reutlingen.31,Germany,Reutlingen,6723.617391304348,3146.2,8643
Reutlingen.32,Germany,Reutlingen,6995.417391304348,4017.4,8758.2
Reutlingen.33,Germany,Reutlingen,6911.591304347826,4012.6,8676.4
Reutlingen.34,Germany,Reutlingen,6399.078260869565,3142.2,8390.2
Reutlingen.35,Germany,Reutlingen,6061.182608695653,2466.8,8308
Reutlingen.36,Germany,Reutlingen,6061.182608695653,2466.8,8308
Reutlingen.37,Germany,Reutlingen,6030.495652173913,2747.8,7596.2
Reutlingen.38,Germany,Reutlingen,5615.991304347826,3081,7720.6
Reutlingen.39,Germany,Reutlingen,6558.469565217391,3047.8,8219.4
Reutlingen.40,Germany,Reutlingen,6577,2977.4,8185.2
