UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Santa_Maria.1,Brazil,Santa_Maria,4107.278260869565,3112.2,5248.8
Santa_Maria.2,Brazil,Santa_Maria,6489.895652173913,3096.8,9172.8
Santa_Maria.3,Brazil,Santa_Maria,6798.295652173913,4263,8820
Santa_Maria.4,Brazil,Santa_Maria,7152.173913043478,6023,8090.2
Santa_Maria.5,Brazil,Santa_Maria,6639.48695652174,5799.4,7657.4
Santa_Maria.6,Brazil,Santa_Maria,6997.991304347826,5255.4,8528
Santa_Maria.7,Brazil,Santa_Maria,8325.48695652174,7356.6,9130.8
Santa_Maria.8,Brazil,Santa_Maria,7287.130434782609,5678.6,7864.2
Santa_Maria.9,Brazil,Santa_Maria,6711.565217391304,5023.2,7600.8
Santa_Maria.10,Brazil,Santa_Maria,6762.973913043478,3709.8,8972
Santa_Maria.11,Brazil,Santa_Maria,7406.321739130435,5379.8,8716.6
Santa_Maria.12,Brazil,Santa_Maria,6639.48695652174,5799.4,7657.4
Santa_Maria.13,Brazil,Santa_Maria,4607.869565217391,3753.2,5424.6
Santa_Maria.14,Brazil,Santa_Maria,7905.521739130435,6810.2,8799.8
Santa_Maria.15,Brazil,Santa_Maria,6825.504347826087,4112,9023.4
Santa_Maria.16,Brazil,Santa_Maria,7127.591304347826,4476.2,8111.8
