UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
St_Louis.1,USA,St_Louis,1372.6173913043478,295.4,2258.6
St_Louis.2,USA,St_Louis,1870.0782608695652,479,3003
St_Louis.3,USA,St_Louis,1711.791304347826,406.8,2616.2
St_Louis.4,USA,St_Louis,1372.6173913043478,295.4,2258.6
St_Louis.5,USA,St_Louis,1836.5565217391304,342.6,3437.6
St_Louis.6,USA,St_Louis,2886.3739130434783,143.8,5945.6
St_Louis.7,USA,St_Louis,728.695652173913,-2768.8,3445.8
St_Louis.8,USA,St_Louis,5171.547826086957,1295,8124.8
St_Louis.9,USA,St_Louis,4221.24347826087,1971,6060.8
St_Louis.10,USA,St_Louis,3831.4434782608696,1752,5902
St_Louis.11,USA,St_Louis,4849.669565217391,1697.8,7223.8
St_Louis.12,USA,St_Louis,4784.608695652174,2471,6679.8
St_Louis.13,USA,St_Louis,4208.704347826087,2101.4,6552
St_Louis.14,USA,St_Louis,1445.7043478260869,393.6,3266.6
St_Louis.15,USA,St_Louis,3712.513043478261,978.4,6742
St_Louis.16,USA,St_Louis,3715.095652173913,1789.2,5801.8
St_Louis.17,USA,St_Louis,5249.130434782609,2753.2,7314
St_Louis.18,USA,St_Louis,5278.069565217391,2244.2,7612.4
St_Louis.19,USA,St_Louis,5486.982608695652,2234,8508.8
St_Louis.20,USA,St_Louis,5988.078260869565,3407,8552.2
St_Louis.21,USA,St_Louis,5278.15652173913,3025.8,8036.8
St_Louis.22,USA,St_Louis,5427.504347826087,3037,8863.2
St_Louis.23,USA,St_Louis,5600.2,3217,8420.6
St_Louis.24,USA,St_Louis,5831.139130434783,3085.6,8699.2
St_Louis.25,USA,St_Louis,5447.44347826087,3050.8,7947.6
St_Louis.26,USA,St_Louis,6433.260869565217,3437,8837.6
St_Louis.27,USA,St_Louis,5067.695652173913,2304.4,9203.2
St_Louis.28,USA,St_Louis,5739.313043478261,2781.6,8463.2
St_Louis.29,USA,St_Louis,5273.017391304348,3042.2,8722.8
St_Louis.30,USA,St_Louis,4998.591304347827,2349,8788.4
St_Louis.31,USA,St_Louis,4634.434782608696,2239,8712
St_Louis.32,USA,St_Louis,5087.2,2523.6,8568.8
St_Louis.33,USA,St_Louis,4920.843478260869,2437.4,8615.4
St_Louis.34,USA,St_Louis,5263.156521739131,2652.8,8902.4
St_Louis.35,USA,St_Louis,4810.452173913043,2104.8,8805.8
St_Louis.36,USA,St_Louis,5434.547826086957,3080.2,8393.8
St_Louis.37,USA,St_Louis,4978,2053.6,8471.2
St_Louis.38,USA,St_Louis,4834.226086956522,2255,8732
