UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Thessaloniki.1,Greece,Thessaloniki,2460.0173913043477,1610.8,3564.4
Thessaloniki.2,Greece,Thessaloniki,1953.486956521739,1167,2799.4
Thessaloniki.3,Greece,Thessaloniki,2713.8260869565215,1701,3551.4
Thessaloniki.4,Greece,Thessaloniki,3225.0695652173913,1738.2,4846
Thessaloniki.5,Greece,Thessaloniki,3814.521739130435,1839.6,5401
Thessaloniki.6,Greece,Thessaloniki,3608.3739130434783,1868.6,5567.4
Thessaloniki.7,Greece,Thessaloniki,6330.660869565218,4842,8119.2
Thessaloniki.8,Greece,Thessaloniki,6324.365217391304,5102,8047.4
Thessaloniki.9,Greece,Thessaloniki,5892.695652173913,3807.8,7583.6
Thessaloniki.10,Greece,Thessaloniki,4496.2,2976.4,5643.8
Thessaloniki.11,Greece,Thessaloniki,6548.713043478261,4288.8,8064.8
Thessaloniki.12,Greece,Thessaloniki,4303.573913043479,2985.6,6177.6
Thessaloniki.13,Greece,Thessaloniki,6595.939130434783,4218.8,8058.2
Thessaloniki.14,Greece,Thessaloniki,6466.652173913044,4355.2,8151.6
Thessaloniki.15,Greece,Thessaloniki,6895.44347826087,4501,8307.8
Thessaloniki.16,Greece,Thessaloniki,6184.921739130435,3530,7646.8
Thessaloniki.17,Greece,Thessaloniki,6184.921739130435,3530,7646.8
Thessaloniki.18,Greece,Thessaloniki,5159.365217391304,2908.6,7200.6
Thessaloniki.19,Greece,Thessaloniki,6326.84347826087,4690.4,7748.2
Thessaloniki.20,Greece,Thessaloniki,5857.55652173913,3992.2,7379.4
Thessaloniki.21,Greece,Thessaloniki,6536.304347826087,4710,8134.4
Thessaloniki.22,Greece,Thessaloniki,6456.982608695653,4792.6,7855
Thessaloniki.23,Greece,Thessaloniki,6836.260869565217,5405.6,8158.8
Thessaloniki.24,Greece,Thessaloniki,5863.2,4417.4,7188
Thessaloniki.25,Greece,Thessaloniki,5863.2,4417.4,7188
Thessaloniki.26,Greece,Thessaloniki,4705.51304347826,2955.4,6025
Thessaloniki.27,Greece,Thessaloniki,4705.51304347826,2955.4,6025
Thessaloniki.28,Greece,Thessaloniki,4469.8,2909.2,5849
Thessaloniki.29,Greece,Thessaloniki,3808.991304347826,2558.8,5151.6
Thessaloniki.30,Greece,Thessaloniki,4118,3049,5337.6
Thessaloniki.31,Greece,Thessaloniki,5383.652173913043,2688.6,6837.4
Thessaloniki.32,Greece,Thessaloniki,5040.356521739131,2331,6731.8
Thessaloniki.33,Greece,Thessaloniki,5176.930434782608,3337.4,6536
Thessaloniki.34,Greece,Thessaloniki,5037.878260869566,2214,6856.2
Thessaloniki.35,Greece,Thessaloniki,5483.078260869565,3026.2,7009.8
Thessaloniki.36,Greece,Thessaloniki,7197.730434782608,5156.8,8038.8
Thessaloniki.37,Greece,Thessaloniki,5911.782608695652,3702.4,7172.2
Thessaloniki.38,Greece,Thessaloniki,7196.260869565217,4998.2,8015.6
Thessaloniki.39,Greece,Thessaloniki,6353.852173913044,4180.6,7346.8
Thessaloniki.40,Greece,Thessaloniki,4608.365217391304,2684.4,6080.8
Thessaloniki.41,Greece,Thessaloniki,4062.75652173913,2241.4,6113
Thessaloniki.42,Greece,Thessaloniki,5798.373913043479,3254.8,7547.4
Thessaloniki.43,Greece,Thessaloniki,7403.330434782609,6494.2,8229.8
Thessaloniki.44,Greece,Thessaloniki,4985.321739130434,2448.6,7840.6
