UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Toluca.1,Mexico,Toluca,1515.8695652173913,758.2,2259.8
Toluca.2,Mexico,Toluca,4045.817391304348,2115.4,6742
Toluca.3,Mexico,Toluca,4018.217391304348,2173.6,6483.2
Toluca.4,Mexico,Toluca,4993.208695652174,2471.2,8296.8
Toluca.5,Mexico,Toluca,4648.939130434783,2329,8227.4
Toluca.6,Mexico,Toluca,5092.51304347826,2439.4,7385.4
Toluca.7,Mexico,Toluca,4683.826086956522,2486.2,7459.4
Toluca.8,Mexico,Toluca,4714.260869565218,2640,7195.4
Toluca.9,Mexico,Toluca,3020.721739130435,1806.2,4775.4
Toluca.10,Mexico,Toluca,3966.486956521739,1828.6,6362
Toluca.11,Mexico,Toluca,4857.408695652174,2457,7995
Toluca.12,Mexico,Toluca,1700.5391304347827,1078.2,2537.4
Toluca.13,Mexico,Toluca,4318.504347826087,2385,6858.2
Toluca.14,Mexico,Toluca,4749.8,2091.8,8075.8
Toluca.15,Mexico,Toluca,4599.321739130435,2385.2,7509
Toluca.16,Mexico,Toluca,2799.2521739130434,1802.4,3613
Toluca.17,Mexico,Toluca,3653.3217391304347,1876.2,5672.8
Toluca.18,Mexico,Toluca,3953.1565217391303,1983.4,6318.2
Toluca.19,Mexico,Toluca,4107.991304347826,1979.8,6027
Toluca.20,Mexico,Toluca,2397.104347826087,1157.2,4071.4
Toluca.21,Mexico,Toluca,3310.913043478261,1549.6,5096.2
Toluca.22,Mexico,Toluca,3622.886956521739,1693.4,5726.2
