UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Wollongong.1,Australia,Wollongong,1860.3391304347826,1107.2,2868.6
Wollongong.2,Australia,Wollongong,1977.0521739130436,1370.6,2850.4
Wollongong.3,Australia,Wollongong,2438.6173913043476,1528.4,3465
Wollongong.4,Australia,Wollongong,5396.521739130435,4511.2,6123
Wollongong.5,Australia,Wollongong,6291.547826086957,4575.4,7231.8
Wollongong.6,Australia,Wollongong,5482.634782608696,4506.2,6457.2
Wollongong.7,Australia,Wollongong,5961.860869565217,4859.6,6932.6
Wollongong.8,Australia,Wollongong,5238.51304347826,4313,5989.4
Wollongong.9,Australia,Wollongong,6011.773913043478,4817,7317
Wollongong.10,Australia,Wollongong,4889.826086956522,3977.8,5983.6
Wollongong.11,Australia,Wollongong,5278.191304347826,3803,6050.4
Wollongong.12,Australia,Wollongong,4485.652173913043,3149,5859
Wollongong.13,Australia,Wollongong,5053.504347826087,3597.8,6316.2
Wollongong.14,Australia,Wollongong,3195.295652173913,2447,4087.2
Wollongong.15,Australia,Wollongong,5667.991304347826,3940.6,6982
Wollongong.16,Australia,Wollongong,5417.452173913043,4249.8,6484.6
Wollongong.17,Australia,Wollongong,5748.130434782609,4658.8,6712.4
Wollongong.18,Australia,Wollongong,6596.339130434782,4954.6,7695.2
Wollongong.19,Australia,Wollongong,6319.852173913044,5089.6,7566.6
Wollongong.20,Australia,Wollongong,5835.026086956522,4103,7196.6
Wollongong.21,Australia,Wollongong,5948.521739130435,4645,7193.2
Wollongong.22,Australia,Wollongong,6049.669565217391,4626.8,7308.2
Wollongong.23,Australia,Wollongong,6219.713043478261,3748,7588
Wollongong.24,Australia,Wollongong,7472.930434782609,5241.8,8187.4
Wollongong.25,Australia,Wollongong,7078.695652173913,4518.6,8028.6
Wollongong.26,Australia,Wollongong,6718.973913043478,4867.2,8015
Wollongong.27,Australia,Wollongong,5967.330434782609,3349.2,7538.2
Wollongong.28,Australia,Wollongong,6321.652173913043,4805.2,7603.6
Wollongong.29,Australia,Wollongong,5060.356521739131,3879.2,6044.4
Wollongong.30,Australia,Wollongong,4540.51304347826,3609.6,5347
Wollongong.31,Australia,Wollongong,4338.269565217392,3595.8,4931.8
Wollongong.32,Australia,Wollongong,4208.286956521739,3442.2,4780.8
Wollongong.33,Australia,Wollongong,6234.234782608695,4379,7731.2
Wollongong.34,Australia,Wollongong,6348.269565217392,4751.4,7887
Wollongong.35,Australia,Wollongong,6278.6,4695.2,7663.4
Wollongong.36,Australia,Wollongong,6875.530434782609,5384.2,8129.2
Wollongong.37,Australia,Wollongong,6726.060869565217,5156.2,8060.6
Wollongong.38,Australia,Wollongong,6856.382608695652,5369.4,8022.2
Wollongong.39,Australia,Wollongong,6963.808695652174,5485.6,8176.4
Wollongong.40,Australia,Wollongong,6365.55652173913,4743.8,7622.6
