UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Wuhan.1,China,Wuhan,2713.365217391304,553.4,4343.2
Wuhan.2,China,Wuhan,2573.5565217391304,430,3751
Wuhan.3,China,Wuhan,2764.495652173913,181.8,4900.8
Wuhan.4,China,Wuhan,3046.2260869565216,378.4,4939
Wuhan.5,China,Wuhan,3766.7478260869566,1037.8,5621.6
Wuhan.6,China,Wuhan,3821.1478260869567,989.2,5533.2
Wuhan.7,China,Wuhan,3920.5913043478263,847.2,6045.2
Wuhan.8,China,Wuhan,3254.9826086956523,529.6,5070.8
Wuhan.9,China,Wuhan,3487.1565217391303,1049.8,5345.6
Wuhan.10,China,Wuhan,3526.330434782609,765,5553.8
Wuhan.11,China,Wuhan,3332.0782608695654,1128.2,5638.2
Wuhan.12,China,Wuhan,3458.939130434783,952,5902
Wuhan.13,China,Wuhan,3120.182608695652,1223.8,5583.4
Wuhan.14,China,Wuhan,3177.486956521739,1161.8,4946.8
Wuhan.15,China,Wuhan,3658.608695652174,1027.6,5894.4
Wuhan.16,China,Wuhan,2826.8,915,4499.4
Wuhan.17,China,Wuhan,2712.4608695652173,746.8,4779.4
Wuhan.18,China,Wuhan,3318.365217391304,854.2,5590
Wuhan.19,China,Wuhan,4578.521739130435,1003.2,7322.2
Wuhan.20,China,Wuhan,5485.695652173913,1428.8,8002.2
Wuhan.21,China,Wuhan,5498.852173913044,1579.6,7727.8
Wuhan.22,China,Wuhan,5283.139130434783,1173.8,7865.6
Wuhan.23,China,Wuhan,5536.24347826087,1240.8,7851.8
Wuhan.24,China,Wuhan,5556.521739130435,1623.4,8069
Wuhan.25,China,Wuhan,5483.356521739131,1200.2,7941.2
Wuhan.26,China,Wuhan,5441.165217391304,1362,7871.6
Wuhan.27,China,Wuhan,5506.469565217391,1698.8,7999.2
Wuhan.28,China,Wuhan,5215.582608695652,1321.8,7812.2
Wuhan.29,China,Wuhan,5236.2,1799.4,7597.8
Wuhan.30,China,Wuhan,3102.8521739130433,755.2,5200
Wuhan.31,China,Wuhan,3870.939130434783,999.4,5672
Wuhan.32,China,Wuhan,3750.1565217391303,555.2,5812
Wuhan.33,China,Wuhan,3526.0173913043477,945.8,5300
Wuhan.34,China,Wuhan,3028.095652173913,340.4,5414.6
Wuhan.35,China,Wuhan,3181.9478260869564,376.6,5441.6
Wuhan.36,China,Wuhan,3050.6782608695653,350.6,5680.4
Wuhan.37,China,Wuhan,3132.8434782608697,663,4779
Wuhan.38,China,Wuhan,3160.217391304348,822,4630
Wuhan.39,China,Wuhan,2952.095652173913,942.8,4386
Wuhan.40,China,Wuhan,2709.35652173913,544,3936.8
Wuhan.41,China,Wuhan,2709.35652173913,544,3936.8
