UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Antwerp.1,Belgium,Antwerp,4983.660869565218,2381.8,7138.2
Antwerp.2,Belgium,Antwerp,6241.356521739131,2887.8,8010
Antwerp.3,Belgium,Antwerp,6630.373913043478,4628.8,8078.8
Antwerp.4,Belgium,Antwerp,6330.24347826087,4825,8293
Antwerp.5,Belgium,Antwerp,6759.313043478261,4178.4,8676.2
Antwerp.6,Belgium,Antwerp,6601.460869565217,4605.6,7998.8
Antwerp.7,Belgium,Antwerp,5951.330434782609,3963.2,7562.2
Antwerp.8,Belgium,Antwerp,5448.956521739131,2585.8,7544
Antwerp.9,Belgium,Antwerp,2538.9304347826087,1049.8,4173.6
Antwerp.10,Belgium,Antwerp,5429.791304347827,2802.6,7491
Antwerp.11,Belgium,Antwerp,5239.426086956521,2862.8,6796.4
Antwerp.12,Belgium,Antwerp,6329.139130434783,4980.4,7572.8
Antwerp.13,Belgium,Antwerp,6404.365217391304,5104.4,7549.8
Antwerp.14,Belgium,Antwerp,3890.8956521739133,2567.6,6093.8
Antwerp.15,Belgium,Antwerp,6076.086956521739,3100,8192
Antwerp.16,Belgium,Antwerp,5615.060869565217,3398.4,6905.8
Antwerp.17,Belgium,Antwerp,1298.4695652173914,-1447,4103.2
Antwerp.18,Belgium,Antwerp,5099.191304347826,1882,6539.8
Antwerp.19,Belgium,Antwerp,3414.913043478261,1589,5270.6
Antwerp.20,Belgium,Antwerp,4996.8,2808,6015.8
Antwerp.21,Belgium,Antwerp,4964.921739130435,3062.6,7174.6
Antwerp.22,Belgium,Antwerp,7210.260869565217,3702.4,8775
Antwerp.23,Belgium,Antwerp,6837.513043478261,3757.6,8275
Antwerp.24,Belgium,Antwerp,5849.51304347826,2035.8,8361.2
Antwerp.25,Belgium,Antwerp,4986.086956521739,2209.6,7886.8
Antwerp.26,Belgium,Antwerp,2530.808695652174,1312,4435.8
Antwerp.27,Belgium,Antwerp,2099.086956521739,-1728.2,4016.6
Antwerp.28,Belgium,Antwerp,-910.6521739130435,-3000,3138
Antwerp.29,Belgium,Antwerp,2685.617391304348,815.6,4814.6
Antwerp.30,Belgium,Antwerp,1748.0695652173913,666.4,3528
Antwerp.31,Belgium,Antwerp,7216.817391304347,3194.2,9646.2
Antwerp.32,Belgium,Antwerp,6797.408695652174,2522,8419.2
Antwerp.33,Belgium,Antwerp,6807.71304347826,3641,8259.4
Antwerp.34,Belgium,Antwerp,1423.391304347826,454.2,2525
Antwerp.35,Belgium,Antwerp,2941.6521739130435,1543.6,4231.8
Antwerp.36,Belgium,Antwerp,5018.44347826087,1502.8,7921
Antwerp.37,Belgium,Antwerp,5174.330434782609,2140.6,6769.4
Antwerp.38,Belgium,Antwerp,6929.895652173913,2848.8,8348.8
Antwerp.39,Belgium,Antwerp,6754.469565217391,3389.4,8106
Antwerp.40,Belgium,Antwerp,6961.113043478261,3608.8,8916
Antwerp.41,Belgium,Antwerp,2134.895652173913,-760.2,4323.8
Antwerp.42,Belgium,Antwerp,1483.6608695652174,667.6,3169.6
Antwerp.43,Belgium,Antwerp,6559.121739130435,2934.8,8166.6
Antwerp.44,Belgium,Antwerp,6284.860869565217,3882,8196.4
Antwerp.45,Belgium,Antwerp,7371.217391304348,4672.6,8645.8
Antwerp.46,Belgium,Antwerp,6910.895652173913,1688.4,8595.6
