UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Athens.1,USA,Athens,6252.95652173913,3822.4,8273.2
Athens.2,USA,Athens,7673.121739130434,4928,8735.8
Athens.3,USA,Athens,7318.382608695652,5479.8,8882.2
Athens.4,USA,Athens,7290.95652173913,5140.4,9083.6
Athens.5,USA,Athens,7271.973913043478,5361.2,8447.6
Athens.6,USA,Athens,7147.765217391305,5342.8,8548
Athens.7,USA,Athens,5743.539130434783,3697.4,7336.6
Athens.8,USA,Athens,6945.860869565217,4275.2,8876.6
Athens.9,USA,Athens,6540.182608695653,4612.4,7997.2
Athens.10,USA,Athens,6797.478260869565,5162.6,8329
Athens.11,USA,Athens,6654.982608695653,4616,8187.8
Athens.12,USA,Athens,6843.617391304348,4717.6,8523.8
Athens.13,USA,Athens,4702.930434782608,3098.8,6800.2
Athens.14,USA,Athens,5642.739130434783,3696.2,7290
Athens.15,USA,Athens,6707.834782608696,4833.8,8378.2
Athens.16,USA,Athens,7245.504347826087,4887.4,8797.2
Athens.17,USA,Athens,7116.678260869565,4605.2,9058.8
Athens.18,USA,Athens,7479.469565217391,5733,8955
Athens.19,USA,Athens,6874.2,4464.2,8730.6
Athens.20,USA,Athens,7162.539130434782,4403,9042.6
Athens.21,USA,Athens,6471.269565217392,4100.6,8577
Athens.22,USA,Athens,6917.313043478261,5076.6,8427.2
Athens.23,USA,Athens,7280.852173913044,4697.2,8990.8
Athens.24,USA,Athens,6720.939130434783,4147.6,8680.2
Athens.25,USA,Athens,6080.573913043479,4320.2,8056.8
Athens.26,USA,Athens,6835.904347826086,4539.6,8609.8
