UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Baltimore.1,USA,Baltimore,5693.852173913044,2916.2,8074.8
Baltimore.2,USA,Baltimore,5836.069565217392,2569.8,8204.2
Baltimore.3,USA,Baltimore,6662.156521739131,3182.4,8991
Baltimore.4,USA,Baltimore,6280.608695652174,-1460.2,9215.4
Baltimore.5,USA,Baltimore,6105.878260869565,3295.6,7945
Baltimore.6,USA,Baltimore,5862.48695652174,2710.6,8691.6
Baltimore.7,USA,Baltimore,5158.626086956522,2563.4,8034.4
Baltimore.8,USA,Baltimore,6823.217391304348,3924.6,8887.4
Baltimore.9,USA,Baltimore,3932.452173913043,-3000,8899.2
Baltimore.10,USA,Baltimore,6253.069565217392,2788.4,7901.2
Baltimore.11,USA,Baltimore,6499.991304347826,2687,8410.6
Baltimore.12,USA,Baltimore,5915.869565217391,2622.4,7782.4
Baltimore.13,USA,Baltimore,5851.608695652174,2394.2,8559.8
Baltimore.14,USA,Baltimore,4580.713043478261,1997,6262.8
Baltimore.15,USA,Baltimore,6464.834782608696,2990.4,8781.4
Baltimore.16,USA,Baltimore,6139.678260869565,623.8,8486.6
Baltimore.17,USA,Baltimore,7001.504347826087,3907,8832.6
Baltimore.18,USA,Baltimore,5431.165217391304,2057.2,8675.2
Baltimore.19,USA,Baltimore,6422.060869565217,3309.6,8361
Baltimore.20,USA,Baltimore,5342.113043478261,1207,8785.6
Baltimore.21,USA,Baltimore,5851.530434782609,2210.4,7500.4
Baltimore.22,USA,Baltimore,1214.121739130435,-380.6,2216
Baltimore.23,USA,Baltimore,3720.5913043478263,1356.6,5419.6
Baltimore.24,USA,Baltimore,5155.356521739131,2340.6,9023.2
Baltimore.25,USA,Baltimore,6307.147826086956,1954.4,8892
Baltimore.26,USA,Baltimore,6584.165217391304,1929,8611.8
Baltimore.27,USA,Baltimore,6757.086956521739,2692,9135.8
Baltimore.28,USA,Baltimore,2321.2260869565216,652.4,4580.8
Baltimore.29,USA,Baltimore,5417.234782608696,2316.8,7413
Baltimore.30,USA,Baltimore,6267.930434782608,3014.8,8329.6
Baltimore.31,USA,Baltimore,5890.730434782608,2191.6,8739.8
Baltimore.32,USA,Baltimore,6542.173913043478,2208.4,8677.6
Baltimore.33,USA,Baltimore,6621.365217391304,2912.6,9082.6
Baltimore.34,USA,Baltimore,6890.6,3153.4,9337
Baltimore.35,USA,Baltimore,6638.008695652174,2882.4,9015.6
Baltimore.36,USA,Baltimore,6812.391304347826,2598.8,9169.6
Baltimore.37,USA,Baltimore,5525.730434782608,1706.8,8143.4
Baltimore.38,USA,Baltimore,5777.060869565217,2174.4,8606.8
Baltimore.39,USA,Baltimore,4793.156521739131,1759.6,6802.2
Baltimore.40,USA,Baltimore,5894.591304347826,2872.6,7483.6
Baltimore.41,USA,Baltimore,6617.652173913043,3384,9069.8
Baltimore.42,USA,Baltimore,6346.286956521739,2116.6,8965.8
Baltimore.43,USA,Baltimore,6407.573913043479,2702,8805
Baltimore.44,USA,Baltimore,5731.191304347826,2063.2,8611.8
