UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Brantford.1,Canada,Brantford,3938.9652173913046,-64.2,7703.2
Brantford.2,Canada,Brantford,3605.1391304347826,-233.6,8310.4
Brantford.3,Canada,Brantford,4461.069565217391,-140.2,8275.6
Brantford.4,Canada,Brantford,3654.965217391304,-171,8216.2
Brantford.5,Canada,Brantford,3875.0695652173913,-102.8,7036.2
Brantford.6,Canada,Brantford,5069.382608695652,216.8,8161.8
Brantford.7,Canada,Brantford,4613.860869565217,67.8,7781
Brantford.8,Canada,Brantford,4489.069565217392,-1.4,8412.8
Brantford.9,Canada,Brantford,4337.973913043478,-130,8519.4
Brantford.10,Canada,Brantford,4532.521739130435,-91.6,8333.8
Brantford.11,Canada,Brantford,4259.878260869566,4.8,8556.8
Brantford.12,Canada,Brantford,3713.695652173913,-216.6,7962.4
Brantford.13,Canada,Brantford,3459.817391304348,-162.2,7491.8
Brantford.14,Canada,Brantford,4759.913043478261,117.4,7855.6
Brantford.15,Canada,Brantford,1514.5652173913043,-182.8,3643.6
Brantford.16,Canada,Brantford,4946.539130434782,249.2,7564
Brantford.17,Canada,Brantford,3972.304347826087,-136.2,8590.4
Brantford.18,Canada,Brantford,4795.113043478261,-99.6,8886.2
Brantford.19,Canada,Brantford,4450.51304347826,102,8489.6
Brantford.20,Canada,Brantford,3668.7391304347825,-281.4,7310.8
Brantford.21,Canada,Brantford,3890.35652173913,164.6,6224.8
Brantford.22,Canada,Brantford,3238.634782608696,22.4,5859.4
Brantford.23,Canada,Brantford,3253.426086956522,-11.8,5529.4
Brantford.24,Canada,Brantford,3457.278260869565,-67.6,7902.8
Brantford.25,Canada,Brantford,4287.573913043478,-59.2,7950.6
Brantford.26,Canada,Brantford,4374.460869565218,29.2,8277.2
Brantford.27,Canada,Brantford,5095.156521739131,142,8498
Brantford.28,Canada,Brantford,3544.3217391304347,-160.2,8573.2
Brantford.29,Canada,Brantford,5015.356521739131,25.8,8896.4
