UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Freehold.1,USA,Freehold,6943.339130434782,4178.8,9224.2
Freehold.2,USA,Freehold,5115.121739130435,3169,6449.8
Freehold.3,USA,Freehold,6386.921739130435,3045.2,8396.6
Freehold.4,USA,Freehold,3912.721739130435,2062.2,6131
Freehold.5,USA,Freehold,5972.48695652174,3064,8716.4
Freehold.6,USA,Freehold,6843.626086956522,3683.6,8791.4
Freehold.7,USA,Freehold,7179.356521739131,4780.8,8932.4
Freehold.8,USA,Freehold,6626.182608695653,3854.6,9012.6
Freehold.9,USA,Freehold,5232.165217391304,2373.4,7798.2
Freehold.10,USA,Freehold,5887.304347826087,2909.6,8359
Freehold.11,USA,Freehold,7204.339130434782,3731.6,8473.4
Freehold.12,USA,Freehold,4801.252173913043,2831.6,7150.8
Freehold.13,USA,Freehold,5620.478260869565,2086.6,8647.8
Freehold.14,USA,Freehold,6549.947826086956,2872.4,8579.2
Freehold.15,USA,Freehold,6111.44347826087,2178.4,8184.4
Freehold.16,USA,Freehold,5710.086956521739,3424.4,6710
Freehold.17,USA,Freehold,5932.078260869565,2531.8,7921.2
Freehold.18,USA,Freehold,5415.426086956522,2937.6,7643.6
Freehold.19,USA,Freehold,6779.834782608696,4083.6,8973.2
Freehold.20,USA,Freehold,3863.878260869565,1592,6470.2
Freehold.21,USA,Freehold,2864.3565217391306,1047.6,5523.8
Freehold.22,USA,Freehold,6002.982608695653,2573.6,8659
Freehold.23,USA,Freehold,6580.339130434782,2615.2,8796.6
Freehold.24,USA,Freehold,5511.95652173913,1806.8,7299
Freehold.25,USA,Freehold,6026.765217391304,2313.8,8547.2
Freehold.26,USA,Freehold,5526.408695652174,2739.6,7365
Freehold.27,USA,Freehold,6487.913043478261,3445.2,7911.6
Freehold.28,USA,Freehold,6965.678260869565,4094.2,9026.2
Freehold.29,USA,Freehold,6146.660869565218,2890.2,8714
Freehold.30,USA,Freehold,6792,3459,8615.8
Freehold.31,USA,Freehold,5571.965217391305,2562.2,7000.4
Freehold.32,USA,Freehold,6524.773913043478,2496.4,8950.8
Freehold.33,USA,Freehold,5860.626086956522,3451.8,7495.4
Freehold.34,USA,Freehold,6114.060869565217,2939.2,7732.8
Freehold.35,USA,Freehold,5938.495652173913,2306,7948.4
Freehold.36,USA,Freehold,4744.260869565217,1865,7593.2
Freehold.37,USA,Freehold,6059.878260869566,1825.2,8245
Freehold.38,USA,Freehold,6634.434782608696,3647.8,8078.6
Freehold.39,USA,Freehold,6536.547826086957,3291.6,9044.6
Freehold.40,USA,Freehold,5468.460869565218,2572.4,7369.4
Freehold.41,USA,Freehold,3972.0608695652177,1564.8,6559
Freehold.42,USA,Freehold,6238.04347826087,2494.4,8084
Freehold.43,USA,Freehold,5807.669565217391,2254.4,7716
Freehold.44,USA,Freehold,6010.252173913043,2449.2,7589
Freehold.45,USA,Freehold,5211.2,2589.2,7290
Freehold.46,USA,Freehold,4807.252173913043,2117,6282.8
Freehold.47,USA,Freehold,6685.095652173913,3314.8,9189.4
Freehold.48,USA,Freehold,5139.147826086956,2834.6,6749
