UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Indianapolis.1,USA,Indianapolis,3803.721739130435,789.2,6822
Indianapolis.2,USA,Indianapolis,5934.6,1897.4,8393
Indianapolis.3,USA,Indianapolis,3754.0521739130436,654.8,5704.4
Indianapolis.4,USA,Indianapolis,4085.7391304347825,841.8,5923.8
Indianapolis.5,USA,Indianapolis,5028.347826086957,202.4,8279.8
Indianapolis.6,USA,Indianapolis,5998.643478260869,1887.4,8833.6
Indianapolis.7,USA,Indianapolis,5683.226086956522,1450.2,8341.4
Indianapolis.8,USA,Indianapolis,5827.113043478261,1336.4,8549
Indianapolis.9,USA,Indianapolis,5582.495652173913,1252,7237.6
Indianapolis.10,USA,Indianapolis,5743.417391304348,268.4,7433.4
Indianapolis.11,USA,Indianapolis,4183.04347826087,951.8,8939.4
Indianapolis.12,USA,Indianapolis,5206.747826086957,1439.4,7999
Indianapolis.13,USA,Indianapolis,5690.260869565218,1986.8,7207.6
Indianapolis.14,USA,Indianapolis,3784.8347826086956,575.4,5386
Indianapolis.15,USA,Indianapolis,3147.104347826087,543.2,6364.4
Indianapolis.16,USA,Indianapolis,4037.426086956522,184.2,7519.8
Indianapolis.17,USA,Indianapolis,4674.843478260869,452.6,6708
Indianapolis.18,USA,Indianapolis,4747.565217391304,973.8,7109
Indianapolis.19,USA,Indianapolis,4507.591304347826,911.4,5841.4
Indianapolis.20,USA,Indianapolis,4842.539130434783,341.4,8348.8
Indianapolis.21,USA,Indianapolis,5213.582608695652,692.4,8734.6
Indianapolis.22,USA,Indianapolis,6052.817391304347,2035.6,8124
Indianapolis.23,USA,Indianapolis,5256,537.6,7079.8
Indianapolis.24,USA,Indianapolis,5251.365217391304,591,7165
Indianapolis.25,USA,Indianapolis,5542.539130434782,490.8,7561.6
Indianapolis.26,USA,Indianapolis,1405.982608695652,-108.2,3205.2
Indianapolis.27,USA,Indianapolis,3927.426086956522,790.6,5567.6
Indianapolis.28,USA,Indianapolis,3303.1391304347826,-54.4,5846
Indianapolis.29,USA,Indianapolis,5531.034782608695,1130.4,8226.6
Indianapolis.30,USA,Indianapolis,5044.617391304348,734,8728.8
Indianapolis.31,USA,Indianapolis,5997.539130434782,837.2,8457
Indianapolis.32,USA,Indianapolis,4428.730434782608,695.4,8679.2
Indianapolis.33,USA,Indianapolis,4940.547826086957,1488,6378.8
Indianapolis.34,USA,Indianapolis,5152.843478260869,648.2,7256
Indianapolis.35,USA,Indianapolis,5442.530434782609,1131,7447.8
Indianapolis.36,USA,Indianapolis,5796.052173913044,681.8,7542.6
Indianapolis.37,USA,Indianapolis,2553.9565217391305,277.6,4090.2
Indianapolis.38,USA,Indianapolis,4635.55652173913,484,7099.4
Indianapolis.39,USA,Indianapolis,3621.730434782609,62.8,8730.6
Indianapolis.40,USA,Indianapolis,4376.130434782609,58.6,9113
Indianapolis.41,USA,Indianapolis,5372.495652173913,666.6,8520
Indianapolis.42,USA,Indianapolis,5337.060869565217,1085.4,7127.8
Indianapolis.43,USA,Indianapolis,6120.904347826087,1726.6,8299.6
Indianapolis.44,USA,Indianapolis,5684.634782608696,1268.8,7811
Indianapolis.45,USA,Indianapolis,5028.947826086956,1194.8,6551
Indianapolis.46,USA,Indianapolis,5505.234782608695,1120.8,7100.4
Indianapolis.47,USA,Indianapolis,5351.852173913044,1321.6,7115.6
Indianapolis.48,USA,Indianapolis,5245.217391304348,899.6,7007.8
Indianapolis.49,USA,Indianapolis,4008.704347826087,635.6,6013.8
Indianapolis.50,USA,Indianapolis,5966.8,730.4,7428.4
Indianapolis.51,USA,Indianapolis,5246.330434782609,635.8,6766.8
