UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Landshut.1,Germany,Landshut,5977.982608695653,1065,8311.2
Landshut.2,Germany,Landshut,6889.582608695652,1996.2,8831.8
Landshut.3,Germany,Landshut,5493.878260869566,1142.6,7889.8
Landshut.4,Germany,Landshut,6546.834782608696,1530,8473.8
Landshut.5,Germany,Landshut,5954.330434782609,826.2,7909.2
Landshut.6,Germany,Landshut,5712.095652173914,1654.6,7769.6
Landshut.7,Germany,Landshut,5179.826086956522,1434.8,7011.8
Landshut.8,Germany,Landshut,5563.24347826087,1654.4,7545
Landshut.9,Germany,Landshut,5522.104347826087,792.4,8360.6
Landshut.10,Germany,Landshut,5765.052173913044,1600,8159.2
Landshut.11,Germany,Landshut,5349.713043478261,874.4,7821.6
Landshut.12,Germany,Landshut,5336.991304347826,826.2,7672
Landshut.13,Germany,Landshut,5544.182608695653,720.6,7834.8
Landshut.14,Germany,Landshut,5274.939130434783,1725.2,7124.6
Landshut.15,Germany,Landshut,5067.286956521739,1490,7347.4
Landshut.16,Germany,Landshut,6533.808695652174,2256.2,8968
Landshut.17,Germany,Landshut,6909.017391304348,1640,8916.2
Landshut.18,Germany,Landshut,5274.034782608695,2024,6734.2
Landshut.19,Germany,Landshut,5720.808695652174,793.8,7762
Landshut.20,Germany,Landshut,5503.452173913043,977.2,7844.8
Landshut.21,Germany,Landshut,5788.8,730.6,8270
Landshut.22,Germany,Landshut,5785.852173913044,1371.2,7831.4
Landshut.23,Germany,Landshut,5852.869565217391,831,7716
Landshut.24,Germany,Landshut,5776.791304347827,521.8,7836.6
Landshut.25,Germany,Landshut,4486.365217391304,867,6378
Landshut.26,Germany,Landshut,5114.052173913044,1589.8,7101.8
Landshut.27,Germany,Landshut,4130.113043478261,1582.8,5718.8
Landshut.28,Germany,Landshut,4633.504347826087,1543.8,6112
Landshut.29,Germany,Landshut,6629.469565217391,1651.8,8412.2
Landshut.30,Germany,Landshut,5552.139130434783,612.6,7830.4
Landshut.31,Germany,Landshut,4511.713043478261,843.8,5934.2
Landshut.32,Germany,Landshut,7428.095652173913,210.4,8952.8
Landshut.33,Germany,Landshut,5395.55652173913,1605.2,7634
Landshut.34,Germany,Landshut,7160.956521739131,700.4,8722.2
Landshut.35,Germany,Landshut,4946.939130434783,141.6,7867
Landshut.36,Germany,Landshut,4477.017391304348,967.8,6517.4
Landshut.37,Germany,Landshut,4386.904347826087,-539.4,7129.6
Landshut.38,Germany,Landshut,5150.608695652174,508.8,7665.8
Landshut.39,Germany,Landshut,5957.44347826087,1871.8,7955
Landshut.40,Germany,Landshut,5689.104347826087,56.8,8011.8
Landshut.41,Germany,Landshut,5511.382608695652,238.2,8018.2
Landshut.42,Germany,Landshut,5614.817391304347,74.8,7886.6
Landshut.43,Germany,Landshut,4851.434782608696,30,8256.8
Landshut.44,Germany,Landshut,5326.834782608696,821,8185.6
Landshut.45,Germany,Landshut,4905.339130434782,820.6,7185.4
