UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Lisbon.1,Portugal,Lisbon,-1482.3304347826086,-3000,4939.6
Lisbon.2,Portugal,Lisbon,6582.495652173913,5278.4,7763.6
Lisbon.3,Portugal,Lisbon,5322.747826086957,4093.6,6952.2
Lisbon.4,Portugal,Lisbon,3252.9304347826087,2588,4105
Lisbon.5,Portugal,Lisbon,5970.721739130435,4879.2,7192.2
Lisbon.6,Portugal,Lisbon,5013.739130434782,3733,6149.8
Lisbon.7,Portugal,Lisbon,4771.852173913044,3115.2,5846.8
Lisbon.8,Portugal,Lisbon,4104.478260869565,2452.6,5308
Lisbon.9,Portugal,Lisbon,4904.791304347827,2843.8,6807.4
Lisbon.10,Portugal,Lisbon,3089.0173913043477,2183.8,5013.8
Lisbon.11,Portugal,Lisbon,2409.878260869565,1953,2992.2
Lisbon.12,Portugal,Lisbon,3190.6260869565217,1780.2,4518.8
Lisbon.13,Portugal,Lisbon,4901.886956521739,3481.4,6537.6
Lisbon.14,Portugal,Lisbon,3917.426086956522,2816.2,5252.8
Lisbon.15,Portugal,Lisbon,2939.208695652174,2231.6,4304
Lisbon.16,Portugal,Lisbon,5681.6173913043485,-419.6,7841.4
Lisbon.17,Portugal,Lisbon,3550.4434782608696,2637.8,4737.8
Lisbon.18,Portugal,Lisbon,4089.113043478261,2394.8,6036.4
Lisbon.19,Portugal,Lisbon,4057.4956521739127,2791.2,5669.6
Lisbon.20,Portugal,Lisbon,4425.573913043479,2594.2,6630.4
Lisbon.21,Portugal,Lisbon,4274.321739130434,3167.8,5405.2
Lisbon.22,Portugal,Lisbon,2755.7391304347825,1620.4,4227.4
Lisbon.23,Portugal,Lisbon,5454.026086956522,3805.4,7004.6
Lisbon.24,Portugal,Lisbon,3684.0782608695654,2647,5212.2
Lisbon.25,Portugal,Lisbon,4046.4086956521737,2646.2,5555.8
Lisbon.26,Portugal,Lisbon,2519.886956521739,1838.8,3795.6
Lisbon.27,Portugal,Lisbon,3512.408695652174,-3000,6926.8
Lisbon.28,Portugal,Lisbon,4446.782608695652,2523.6,6569.2
Lisbon.29,Portugal,Lisbon,2634.8608695652174,1272.6,4885
Lisbon.30,Portugal,Lisbon,6164.365217391304,4629.4,7469.2
Lisbon.31,Portugal,Lisbon,7538.895652173913,5813.4,8631
Lisbon.32,Portugal,Lisbon,4809.469565217391,3313.2,6527.2
Lisbon.33,Portugal,Lisbon,5055.234782608695,3347.6,7477.2
Lisbon.34,Portugal,Lisbon,3481.7478260869566,2192.8,4999.4
Lisbon.35,Portugal,Lisbon,4154.069565217391,2875,5751
Lisbon.36,Portugal,Lisbon,2958.582608695652,2173.4,4517.2
Lisbon.37,Portugal,Lisbon,6223.321739130434,4673.6,7397.8
Lisbon.38,Portugal,Lisbon,5214.739130434782,2899.4,7743.6
Lisbon.39,Portugal,Lisbon,5679.739130434783,3154,7411.8
Lisbon.40,Portugal,Lisbon,6667.156521739131,5234.6,7842.8
Lisbon.41,Portugal,Lisbon,3745.191304347826,2594.6,5655
Lisbon.42,Portugal,Lisbon,5082.730434782608,3354.4,6848.4
Lisbon.43,Portugal,Lisbon,4542.252173913043,-483.4,6506.8
Lisbon.44,Portugal,Lisbon,-1458.2260869565218,-3000,5211.6
Lisbon.45,Portugal,Lisbon,5099.852173913044,3551.8,7093.2
Lisbon.46,Portugal,Lisbon,4276.8,2893.6,5653.4
Lisbon.47,Portugal,Lisbon,5594.208695652173,2894.2,7588
Lisbon.48,Portugal,Lisbon,4694.408695652174,2643,6713.8
Lisbon.49,Portugal,Lisbon,5030.356521739131,2837.4,7240.8
Lisbon.50,Portugal,Lisbon,4264.547826086957,2651.6,6032.2
Lisbon.51,Portugal,Lisbon,4949.634782608696,1734.2,8397.2
