UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Rennes.1,France,Rennes,5740.408695652174,4739.2,6677.2
Rennes.2,France,Rennes,5844.304347826087,4107,7407.2
Rennes.3,France,Rennes,6809.617391304348,4351.8,8297.4
Rennes.4,France,Rennes,6232.165217391304,4211.4,7842.6
Rennes.5,France,Rennes,6797.71304347826,4767.2,8079.2
Rennes.6,France,Rennes,5680.652173913043,4059.2,6506.8
Rennes.7,France,Rennes,6153.286956521739,3728.8,8363
Rennes.8,France,Rennes,2088.182608695652,1418.6,2956.2
Rennes.9,France,Rennes,5945.765217391305,3587.8,7735.8
Rennes.10,France,Rennes,6756.121739130434,4102.8,8268.6
Rennes.11,France,Rennes,6390.686956521739,4292.8,8238.2
Rennes.12,France,Rennes,6262.4,3963.2,7801.2
Rennes.13,France,Rennes,6921.226086956522,4814.8,8407.8
Rennes.14,France,Rennes,6233.321739130435,3800,8503.8
Rennes.15,France,Rennes,6069.730434782608,4582.6,7377.4
Rennes.16,France,Rennes,5928.547826086957,4342.8,7075.2
Rennes.17,France,Rennes,4375.51304347826,2591.8,6276.8
Rennes.18,France,Rennes,4160.391304347826,2872.4,5534.8
Rennes.19,France,Rennes,6742.808695652174,4560.8,8537.4
Rennes.20,France,Rennes,6545.182608695653,4137,7926.8
Rennes.21,France,Rennes,7139.321739130435,4920.8,8210.6
Rennes.22,France,Rennes,6292.113043478261,4409.2,7872
Rennes.23,France,Rennes,6725.626086956522,4642,7855.2
Rennes.24,France,Rennes,6959.373913043479,4080.8,8260.6
Rennes.25,France,Rennes,5960.939130434783,3630.2,7692.6
Rennes.26,France,Rennes,6232.721739130435,2411.6,7997.2
Rennes.27,France,Rennes,5689.808695652174,2593.4,8009.6
Rennes.28,France,Rennes,5929.721739130435,3639.8,7719.4
Rennes.29,France,Rennes,6645.234782608695,4549.6,8213
Rennes.30,France,Rennes,6506.095652173913,4051.6,8487.2
Rennes.31,France,Rennes,5663.095652173914,4115.6,7292.8
Rennes.32,France,Rennes,6360.165217391304,3979.6,8107.2
Rennes.33,France,Rennes,6160.765217391304,4416,7664.4
Rennes.34,France,Rennes,6720.217391304348,4089.6,8375.4
Rennes.35,France,Rennes,7383.652173913043,4508.8,8850.2
Rennes.36,France,Rennes,6990.730434782608,5122,8037.6
Rennes.37,France,Rennes,6237.834782608696,3387.4,7796.8
Rennes.38,France,Rennes,6163.234782608695,4045.6,8087.4
